Faixas de 01h;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
06:00:00 - 07:00:00;100,00;100,00;369,14;234,96;481,14;311,29;192,08;16,33;136,37;15,91;0,00;0,00;3,88;347,80;50,67
07:00:00 - 08:00:00;100,00;100,00;133,63;197,51;174,18;232,19;155,53;49,54;93,78;110,27;98,94;4,22;27,95;194,29;117,21
08:00:00 - 09:00:00;100,00;100,00;43,36;197,05;56,51;252,12;163,51;42,29;38,92;157,65;17,14;28,03;32,67;181,62;141,27
09:00:00 - 10:00:00;100,00;100,00;55,71;246,55;72,62;289,14;173,76;32,98;41,01;188,58;3,71;47,94;56,62;214,74;93,00
10:00:00 - 11:00:00;100,00;100,00;163,92;205,88;194,58;261,27;168,67;37,61;71,01;114,98;25,86;27,88;22,81;208,57;126,43
11:00:00 - 12:00:00;100,00;100,00;132,90;201,64;155,06;252,45;149,72;54,82;94,65;117,29;70,71;71,06;41,03;160,63;121,96
12:00:00 - 13:00:00;100,00;100,00;92,98;184,53;82,00;219,74;138,80;64,75;83,26;130,09;62,58;95,60;35,43;81,82;183,79
13:00:00 - 14:00:00;100,00;100,00;189,24;195,39;193,41;226,76;136,84;66,53;108,27;85,48;31,43;13,84;48,48;46,41;231,81
14:00:00 - 15:00:00;100,00;100,00;177,66;182,66;174,27;204,94;154,34;50,63;112,33;77,35;26,06;62,77;82,58;97,28;150,34
15:00:00 - 16:00:00;100,00;100,00;192,17;199,88;211,37;241,00;146,67;57,59;109,56;92,79;29,68;55,16;42,54;79,29;200,67
16:00:00 - 17:00:00;100,00;100,00;136,97;190,20;144,52;230,77;149,61;54,92;75,19;119,58;42,69;57,50;27,54;100,05;193,19
17:00:00 - 18:00:00;100,00;100,00;68,76;170,09;86,42;204,56;148,42;56,00;40,45;169,54;97,85;24,32;34,02;113,33;169,48
18:00:00 - 19:00:00;100,00;100,00;115,78;192,94;122,86;233,94;130,97;71,86;70,20;148,52;129,06;43,05;39,43;124,99;140,97
19:00:00 - 20:00:00;100,00;100,00;171,25;200,80;211,22;258,24;132,38;70,58;98,19;111,77;42,30;46,22;24,69;153,91;157,14
20:00:00 - 21:00:00;100,00;100,00;143,01;162,22;151,38;193,29;118,77;82,94;97,66;104,59;25,25;50,73;29,21;124,86;179,64
21:00:00 - 22:00:00;100,00;100,00;142,22;183,95;173,13;232,66;123,21;78,91;81,08;137,62;31,36;27,33;18,74;197,47;137,13
22:00:00 - 23:00:00;100,00;100,00;143,50;174,44;171,96;221,18;120,48;81,39;71,87;150,54;28,17;14,28;35,13;205,82;120,74
23:00:00 - 24:00:00;100,00;100,00;94,46;154,22;123,12;196,72;116,06;85,40;69,27;148,89;53,35;45,28;64,99;225,52;62,82
24:00:00 - 25:00:00;100,00;100,00;170,83;159,76;211,74;200,17;138,86;64,69;130,80;74,46;31,74;145,18;85,61;159,76;74,69
25:00:00 - 26:00:00;100,00;100,00;160,60;185,35;207,08;241,01;148,27;56,14;121,63;76,44;0,00;112,12;59,33;182,22;99,28
26:00:00 - 27:00:00;100,00;100,00;156,57;170,39;202,64;190,84;136,70;66,65;122,41;87,93;0,00;207,37;47,57;215,71;57,40
27:00:00 - 28:00:00;100,00;100,00;169,73;226,55;221,22;300,14;147,83;56,54;60,86;169,66;21,37;20,90;6,93;364,72;22,56
28:00:00 - 29:00:00;100,00;100,00;436,64;295,86;274,09;214,12;194,97;13,71;159,16;39,14;0,00;12,34;160,42;174,82;43,22
29:00:00 - 30:00:00;100,00;100,00;310,28;216,92;404,41;287,39;157,62;47,64;115,40;33,66;8,33;0,00;61,66;260,62;64,75
06:00:00 - 30:00:00;100,00;100,00;144,74;186,17;164,46;227,46;137,88;65,58;86,89;120,74;41,86;48,16;40,64;151,83;144,26
;;;;;;;;;;;;;;;
