Faixas de 15min;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
06:00:00 - 06:15:00;8,1621;9,0351;5,3633;5,3633;5,3633;5,3633;5,3633;3,6718;5,3633;0;0;0;3,6718;5,3633;0
06:15:00 - 06:30:00;13,5176;13,5025;9,377;9,377;9,377;9,377;9,377;4,1255;13,5025;0;0;0;0;5,3633;8,1392
06:30:00 - 06:45:00;14,0878;14,1323;9,6757;9,6757;9,6757;9,6757;14,1323;0;9,6757;0;0;0;0;7,0389;7,0934
06:45:00 - 07:00:00;22,4946;26,1479;9,3665;12,8347;9,3665;12,8347;14,5103;11,6375;18,13;6,3423;0;0;0;19,2706;6,8772
07:00:00 - 07:15:00;30,6656;32,5308;9,3665;17,821;9,3665;17,821;27,6289;4,9019;20,153;10,7022;8,1324;0;0;15,1954;9,203
07:15:00 - 07:30:00;52,8673;67,003;9,3665;34,1477;9,3665;34,1477;46,7367;20,2663;24,8457;34,974;8,1324;0;0;18,1357;40,7349
07:30:00 - 07:45:00;29,3852;40,7449;4,0032;14,1528;4,0032;14,1528;14,1528;26,5921;20,8928;19,852;0;4,3365;0;19,5776;16,8307
07:45:00 - 08:00:00;34,4176;44,5699;21,6684;36,9768;21,6684;28,5633;41,0395;3,5304;21,6684;18,8388;1,4512;0;10,4927;14,89;17,7361
08:00:00 - 08:15:00;62,3133;77,6437;15,8473;42,5135;15,8473;34,1;55,9131;21,7307;19,7209;42,9274;8,0532;0;13,096;18,1516;38,3429
08:15:00 - 08:30:00;63,2966;74,5245;10,6489;38,8085;10,6489;38,8085;42,8251;31,6994;27,5527;32,5667;0;3,4536;7,683;26,061;37,3268
08:30:00 - 08:45:00;82,8922;92,8935;16,0035;57,4196;16,0035;57,4196;75,2906;17,6029;25,4242;52,4231;0;3,6904;8,8437;31,8397;48,5197
08:45:00 - 09:00:00;53,6006;52,4047;3,7186;30,8017;3,7186;27,4334;46,7034;5,7013;7,4665;29,7504;0;0;10,2731;23,9374;18,1943
09:00:00 - 09:15:00;42,8748;52,2024;3,7894;37,1075;3,7894;28,8756;37,1075;15,0949;9,4495;39,7188;0;0;10,4421;17,6506;24,1097
09:15:00 - 09:30:00;69,3767;73,9273;21,3475;51,4091;21,3475;44,0816;53,344;20,5833;30,7756;38,1827;0;0;11,8537;24,3931;37,6805
09:30:00 - 09:45:00;68,1446;75,5444;7,6252;37,2024;7,6252;32,7343;55,6036;19,9408;34,7656;34,7811;7,893;4,5106;8,9944;24,2629;29,8836
09:45:00 - 10:00:00;64,6221;65,1231;13,6978;37,4333;13,6978;37,4333;54,5454;10,5777;25,4061;34,3131;0;4,5106;9,3999;21,1478;30,0649
10:00:00 - 10:15:00;75,4547;84,2516;24,2403;42,7417;24,2403;42,7417;63,3294;20,9222;38,5413;28,4346;5,4999;4,5106;5,4648;24,3522;44,4241
10:15:00 - 10:30:00;67,0969;71,9908;24,6035;38,6781;24,6035;38,6781;54,7552;17,2355;33,402;21,313;5,4999;0;11,2746;30,7132;24,5031
10:30:00 - 10:45:00;108,7302;113,5831;57,2482;71,4777;52,2119;66,4414;84,5848;28,9984;70,8969;35,8128;2,1506;4,3995;7,8275;35,2485;63,957
10:45:00 - 11:00:00;92,8303;106,6125;38,8064;63,1578;33,7702;58,1215;80,6757;25,9367;50,6432;31,4296;7,6116;3,1078;10,8603;46,9158;38,1169
11:00:00 - 11:15:00;92,5598;92,5389;21,5796;42,2031;21,5796;42,2031;67,8266;24,7123;51,0657;28,4461;10,9365;0;17,9559;31,3935;32,253
11:15:00 - 11:30:00;102,9194;112,4387;22,8954;49,206;22,8954;45,6362;75,5784;36,8603;58,6786;36,0944;3,2193;3,7954;19,1149;17,3559;68,9532
11:30:00 - 11:45:00;81,3953;103,4721;21,2526;55,178;17,339;51,2644;69,6597;33,8124;58,2781;45,1941;3,2193;9,1652;21,8661;31,3567;37,8648
11:45:00 - 12:00:00;120,8314;124,3209;46,1146;76,5062;42,201;71,1959;81,2119;43,109;68,5629;51,6953;3,8623;4,5042;10,979;36,1506;68,8248
12:00:00 - 12:15:00;78,8205;85,3743;20,2788;41,4636;16,3653;35,2742;48,5305;36,8437;51,4538;30,1027;6,4686;4,5042;16,7187;25,5959;32,0869
12:15:00 - 12:30:00;87,3018;122,1702;42,4918;72,439;38,5783;68,5255;83,4025;38,7677;74,9799;40,3168;3,194;4,5042;8,0036;27,3498;79,1187
12:30:00 - 12:45:00;95,0443;115,5926;24,1099;54,62;20,1963;50,7065;78,1836;37,409;42,4506;60,7485;8,2244;7,3;12,19;5,2692;82,609
12:45:00 - 13:00:00;114,473;127,7132;38,1942;69,0435;32,1926;63,0419;95,2931;32,42;76,2928;41,8795;13,7398;11,0489;12,1891;23,06;67,6753
13:00:00 - 13:15:00;104,3766;107,4007;36,7049;68,5326;32,7913;64,619;73,8051;33,5956;51,4859;50,6423;0,8947;0;3,9136;11,0544;91,538
13:15:00 - 13:30:00;124,8917;141,0737;39,8072;82,3858;35,8936;78,4722;96,6938;44,3799;57,5127;51,3188;6,8663;1,8004;16,1801;22,3664;93,8605
13:30:00 - 13:45:00;109,1286;120,3383;36,0343;61,0758;32,1207;57,1622;66,9109;53,4274;62,8686;38,0483;7,3047;0;17,826;14,3393;80,8683
13:45:00 - 14:00:00;111,388;120,8077;36,5486;53,7213;32,635;49,8077;71,5264;49,2813;68,8849;29,4994;0;8,9569;14,0164;18,5571;79,2773
14:00:00 - 14:15:00;138,4963;149,6591;29,0794;83,8292;25,1658;76,0651;116,1332;33,5259;70,6918;62,9929;5,3575;4,1722;20,6291;33,7965;85,7038
14:15:00 - 14:30:00;184,8563;204,452;52,7947;109,3955;48,8811;97,3153;137,6576;66,7943;95,3491;90,5492;12,4115;3,7484;30,0607;42,9374;115,2939
14:30:00 - 14:45:00;145,4327;195,2693;46,0139;93,0839;34,721;81,7909;130,046;65,2233;111,2781;65,478;8,7457;19,2195;45,7812;32,3755;89,1474
14:45:00 - 15:00:00;191,1289;236,068;65,2332;119,7563;53,9402;101,9779;157,7879;78,2801;133,5002;84,0616;12,2922;17,2066;43,4395;43,3975;119,7322
15:00:00 - 15:15:00;178,3874;231,9401;67,5496;108,6743;54,8787;96,0034;140,2176;91,7225;128,861;84,8709;13,0708;9,3573;35,2923;37,1272;137,0925
15:15:00 - 15:30:00;171,9083;224,5968;84,0115;117,7949;78,3557;109,1199;137,7789;86,8179;157,6893;58,7548;3,7563;17,7262;31,4722;43,2555;128,3866
15:30:00 - 15:45:00;199,2606;241,9251;82,9196;132,345;74,6647;124,09;148,338;93,5871;124,7297;83,2884;11,469;8,154;23,4359;46,0947;152,7714
15:45:00 - 16:00:00;190,4085;200,0627;49,0888;84,4578;45,1752;80,5442;113,47;86,5927;97,7318;64,8286;12,1859;5,3712;15,8606;21,8671;144,7779
16:00:00 - 16:15:00;163,734;191,025;53,7703;84,7598;45,9976;76,9871;104,4257;86,5993;109,6498;54,73;7,2104;16,8239;10,3341;28,7184;127,9382
16:15:00 - 16:30:00;198,3647;232,8693;63,1922;104,8126;59,2786;100,899;130,4297;102,4396;134,7695;76,5054;10,1346;12,0391;21,2172;44,6498;144,8286
16:30:00 - 16:45:00;156,353;177,4733;60,8494;111,9761;55,45;97,1652;123,4039;54,0694;84,5489;74,9022;3,8554;2,4428;25,828;34,1436;111,2034
16:45:00 - 17:00:00;171,3693;189,9684;82,6061;108,9558;77,2067;103,5564;124,8005;65,1678;104,6778;72,1351;11,1521;1,1511;7,6017;42,7757;127,2879
17:00:00 - 17:15:00;166,9324;188,9745;56,1505;95,12;56,1505;91,5511;115,2119;73,7626;94,0795;83,9749;7,5694;3,7832;18,3029;37,9363;121,3828
17:15:00 - 17:30:00;140,0291;173,5397;46,9705;89,3456;46,9705;82,8719;118,7141;54,8256;72,643;86,1131;6,2732;4,5449;22,4008;52,5213;87,7994
17:30:00 - 17:45:00;154,1608;183,9404;59,0664;91,5492;54,2274;80,2364;105,9065;78,0339;98,078;67,379;5,3886;6,9886;17,6748;51,8698;102,0186
17:45:00 - 18:00:00;118,2978;150,8371;20,443;69,3737;20,443;65,7593;93,2987;57,5384;39,793;94,5767;9,021;6,6686;20,7191;44,7458;69,6825
18:00:00 - 18:15:00;154,4647;198,1018;60,346;106,1712;51,4625;83,619;114,9136;83,1882;113,4587;72,4505;15,7432;3,7559;34,7886;65,2673;78,5466
18:15:00 - 18:30:00;161,2673;192,8593;61,3186;94,3329;44,004;77,0184;109,1311;83,7282;111,1319;59,7518;15,7899;1,8004;34,0076;47,4085;93,8529
18:30:00 - 18:45:00;165,7967;194,4117;34,9143;72,7836;24,2317;58,4865;90,7939;103,6178;69,5627;103,8824;8,5199;13,953;22,27;47,7456;101,9231
18:45:00 - 19:00:00;170,2348;211,4676;47,3237;106,0663;42,2874;96,2535;115,8194;95,6482;88,5495;98,2796;11,8389;3,7559;40,3179;62,3205;93,2344
19:00:00 - 19:15:00;175,4227;241,123;63,3424;113,0127;63,3424;111,6077;121,979;119,144;138,0305;87,4545;12,3207;3,7559;16,3429;71,7302;136,9732
19:15:00 - 19:30:00;158,6585;188,4924;57,134;104,1251;57,134;101,2658;117,8269;70,6655;102,2687;72,9334;4,9049;6,5638;19,3876;62,0999;95,5363
19:30:00 - 19:45:00;178,718;230,5615;96,0723;138,0726;91,9696;133,97;142,4485;88,1129;146,5317;76,1002;4,9049;3,7559;17,6774;70,962;133,2612
19:45:00 - 20:00:00;137,7781;196,0069;75,7241;110,5677;66,5852;101,4287;127,7196;68,2874;119,3618;64,0889;10,9644;3,7559;14,8898;47,3946;119,0022
20:00:00 - 20:15:00;207,1369;271,6079;83,3648;144,2963;77,52;138,4514;171,3247;96,2481;133,3355;110,2174;6,3169;12,0489;24,9798;88,6756;139,5866
20:15:00 - 20:30:00;168,9742;218,9268;71,3655;122,5558;53,4692;104,6596;145,7181;73,2087;114,5592;84,9571;11,3205;8,9411;33,5102;46,1271;119,0279
20:30:00 - 20:45:00;179,7297;240,2211;70,8188;132,5618;66,7162;128,4592;155,8401;84,381;109,3401;96,7104;5,5842;9,5925;16,7972;69,6316;138,6155
