Faixas de 15min;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
06:00:00 - 06:15:00;0,08;0,03;0,10;0,06;0,13;0,08;0,04;0,02;0,03;0,00;0,00;0,00;0,04;0,07;0,00
06:15:00 - 06:30:00;0,13;0,04;0,17;0,10;0,22;0,13;0,06;0,03;0,08;0,00;0,00;0,00;0,00;0,07;0,08
06:30:00 - 06:45:00;0,13;0,05;0,17;0,10;0,23;0,14;0,10;0,00;0,06;0,00;0,00;0,00;0,00;0,09;0,07
06:45:00 - 07:00:00;0,21;0,08;0,17;0,14;0,22;0,18;0,10;0,07;0,11;0,05;0,00;0,00;0,00;0,26;0,07
07:00:00 - 07:15:00;0,29;0,10;0,17;0,19;0,22;0,25;0,19;0,03;0,12;0,09;0,28;0,00;0,00;0,20;0,10
07:15:00 - 07:30:00;0,49;0,22;0,17;0,36;0,22;0,48;0,32;0,12;0,15;0,28;0,28;0,00;0,00;0,24;0,42
07:30:00 - 07:45:00;0,27;0,13;0,07;0,15;0,09;0,20;0,10;0,16;0,13;0,16;0,00;0,16;0,00;0,26;0,18
07:45:00 - 08:00:00;0,32;0,14;0,39;0,39;0,51;0,40;0,28;0,02;0,13;0,15;0,05;0,00;0,12;0,20;0,18
08:00:00 - 08:15:00;0,58;0,25;0,29;0,45;0,37;0,48;0,38;0,13;0,12;0,34;0,27;0,00;0,15;0,24;0,40
08:15:00 - 08:30:00;0,59;0,24;0,19;0,41;0,25;0,55;0,29;0,19;0,17;0,26;0,00;0,13;0,09;0,35;0,39
08:30:00 - 08:45:00;0,77;0,30;0,29;0,61;0,38;0,81;0,51;0,11;0,16;0,42;0,00;0,14;0,10;0,43;0,51
