Faixas de 01h;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
06:00:00 - 07:00:00;43,388;45,0523;17,6925;21,1608;17,6925;21,1608;25,6174;19,4349;30,5815;6,3423;0;0;3,6718;19,2706;22,1098
07:00:00 - 08:00:00;92,3931;124,9301;31,0348;67,4842;31,0348;59,0707;84,1359;40,7942;53,8092;59,8749;9,5836;4,3365;10,4927;40,765;59,7524
08:00:00 - 09:00:00;176,845;206,3127;39,0987;112,6624;39,0987;100,8805;149,7006;56,6121;68,3519;105,0975;8,0532;7,144;33,5821;60,1996;97,3338
09:00:00 - 10:00:00;158,7808;172,7191;35,0454;95,7694;35,0454;84,6782;126,7722;45,947;75,0436;83,2399;7,893;4,5106;27,2275;51,5073;81,5808
10:00:00 - 11:00:00;200,751;221,8011;91,6773;126,4056;86,641;121,3693;158,4581;63,343;127,6647;65,8063;9,7622;8,9101;23,8657;70,6293;108,6337
11:00:00 - 12:00:00;267,704;313,8725;88,0198;153,8747;84,1062;144,9947;207,63;106,2425;181,7249;103,5456;14,7988;12,9606;49,7033;81,2075;155,2023
12:00:00 - 13:00:00;268,3103;316,2267;103,8192;159,6815;97,8176;151,4041;210,332;105,8947;192,2153;100,3546;23,4024;18,3489;34,0142;65,737;174,7242
13:00:00 - 14:00:00;293,27;333,537;98,6498;166,2611;94,7362;162,3475;203,1963;130,3407;163,9117;113,8776;11,5009;10,7573;31,895;46,9203;232,4635
14:00:00 - 15:00:00;416,9108;496,3639;113,6447;237,2906;102,3518;211,3456;322,0649;174,299;256,9738;202,1981;33,6479;34,9894;81,604;89,6531;256,4695
15:00:00 - 16:00:00;441,4804;530,1397;156,6935;230,6135;139,6812;210,5821;298,4213;231,7184;289,1213;183,8132;31,7506;25,8802;72,536;78,2246;321,7482
16:00:00 - 17:00:00;425,3126;489,1047;154,9633;232,5102;145,7048;213,8401;274,2223;214,8825;276,7843;164,7114;22,967;17,9749;43,9999;91,8644;312,2985
17:00:00 - 18:00:00;409,6713;491,241;153,7581;243,8308;148,919;228,9491;288,6454;202,5956;256,4253;200,9237;12,0865;18,2293;60,7126;134,9199;265,2927
18:00:00 - 19:00:00;399,5886;507,7013;121,2894;230,5423;97,2058;188,0134;271,3736;236,3278;255,325;200,5284;27,3497;13,953;88,8676;136,2563;241,2747
19:00:00 - 20:00:00;366,4015;490,8921;162,8336;240,3329;153,6946;226,9297;276,5444;214,3477;307,6007;145,4153;23,4669;6,5638;39,8016;133,5034;287,5565
20:00:00 - 21:00:00;470,909;619,3592;185,8961;309,5273;167,9998;287,7805;386,6325;228,6916;328,8986;230,6506;33,3306;25,6556;67,9458;162,3939;330,0333
21:00:00 - 22:00:00;484,4618;651,694;166,6492;305,0083;147,6233;261,8737;364,5251;287,1689;315,0847;273,1412;19,3426;11,287;96,3724;173,3463;351,3457
22:00:00 - 23:00:00;491,0589;619,7342;180,4622;303,2678;159,4751;276,021;339,1285;280,6057;339,1807;234,3491;14,5517;10,8649;78,3062;165,1031;350,9083
23:00:00 - 24:00:00;329,873;439,7386;76,2907;177,908;76,2907;163,8904;221,9051;217,8336;209,7566;184,0875;21,4689;15,5454;63,9673;115,7714;222,9856
24:00:00 - 25:00:00;197,7614;280,6954;82,8063;132,7098;67,6651;113,9998;165,5707;115,1247;179,5105;81,6843;12,4188;16,4454;58,9261;73,6647;119,2404
25:00:00 - 26:00:00;132,4341;163,4124;53,2199;76,0003;49,3063;68,5178;94,9222;64,4551;114,1097;37,5915;0;7,7052;32,4723;44,6953;78,5396
26:00:00 - 27:00:00;115,4057;122,859;36,1789;66,5684;34,4785;60,8035;75,1352;47,7238;70,2216;47,398;0;8,1931;21,1779;55,6128;37,8752
27:00:00 - 28:00:00;44,3296;56,8075;16,5413;33,5839;16,5413;33,5839;34,8756;21,9319;17,833;38,9745;5,5109;1,2917;5,377;26,7223;17,9056
28:00:00 - 29:00:00;52,8565;56,1305;19,96;28,0106;9,2228;17,2734;33,9664;22,1641;34,331;21,7995;0;2,9127;19,723;10,389;23,1058
29:00:00 - 30:00:00;47,576;49,2152;13,479;22,5393;13,479;22,5393;26,898;22,3172;23,474;15,4917;2,6831;0;8,5739;7,0389;30,9193
06:00:00 - 30:00:00;2617,7619;3757,1127;924,0817;1539,5879;837,6754;1353,4101;2018,7284;1734,3492;1999,1156;1456,6264;222,2469;169,441;604,0491;911,3972;1849,9786
;;;;;;;;;;;;;;;
