Faixas de 01h;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
06:00:00 - 07:00:00;0,41;0,14;0,32;0,23;0,42;0,30;0,17;0,12;0,19;0,05;0,00;0,00;0,04;0,26;0,23
07:00:00 - 08:00:00;0,86;0,40;0,56;0,72;0,73;0,83;0,57;0,25;0,33;0,48;0,33;0,16;0,12;0,55;0,62
08:00:00 - 09:00:00;1,65;0,66;0,71;1,20;0,92;1,42;1,01;0,35;0,42;0,84;0,27;0,27;0,40;0,81;1,01
09:00:00 - 10:00:00;1,48;0,56;0,63;1,02;0,82;1,19;0,86;0,28;0,46;0,67;0,27;0,17;0,32;0,69;0,85
10:00:00 - 11:00:00;1,88;0,71;1,66;1,35;2,03;1,71;1,07;0,39;0,78;0,53;0,33;0,33;0,28;0,95;1,13
11:00:00 - 12:00:00;2,50;1,01;1,59;1,64;1,98;2,04;1,40;0,65;1,11;0,83;0,50;0,49;0,59;1,09;1,62
12:00:00 - 13:00:00;2,51;1,02;1,87;1,70;2,30;2,13;1,42;0,65;1,18;0,81;0,80;0,69;0,40;0,89;1,82
13:00:00 - 14:00:00;2,74;1,07;1,78;1,77;2,22;2,29;1,37;0,80;1,00;0,91;0,39;0,40;0,38;0,63;2,42
14:00:00 - 15:00:00;3,90;1,60;2,05;2,53;2,40;2,98;2,18;1,07;1,57;1,62;1,15;1,31;0,96;1,21;2,67
15:00:00 - 16:00:00;4,13;1,71;2,83;2,46;3,28;2,97;2,02;1,42;1,77;1,48;1,08;0,97;0,86;1,05;3,36
16:00:00 - 17:00:00;3,98;1,57;2,80;2,48;3,42;3,01;1,85;1,32;1,69;1,32;0,78;0,67;0,52;1,24;3,26
17:00:00 - 18:00:00;3,83;1,58;2,78;2,60;3,50;3,23;1,95;1,24;1,57;1,61;0,41;0,68;0,72;1,82;2,77
18:00:00 - 19:00:00;3,73;1,63;2,19;2,46;2,28;2,65;1,83;1,45;1,56;1,61;0,93;0,52;1,05;1,84;2,52
19:00:00 - 20:00:00;3,42;1,58;2,94;2,56;3,61;3,20;1,87;1,32;1,88;1,17;0,80;0,25;0,47;1,80;3,00
20:00:00 - 21:00:00;4,40;1,99;3,36;3,30;3,95;4,05;2,61;1,40;2,01;1,85;1,13;0,96;0,80;2,19;3,44
21:00:00 - 22:00:00;4,53;2,10;3,01;3,25;3,47;3,69;2,46;1,76;1,93;2,19;0,66;0,42;1,14;2,34;3,66
22:00:00 - 23:00:00;4,59;1,99;3,26;3,23;3,75;3,89;2,29;1,72;2,07;1,88;0,50;0,41;0,92;2,22;3,66
23:00:00 - 24:00:00;3,08;1,41;1,38;1,89;1,79;2,31;1,50;1,34;1,28;1,48;0,73;0,58;0,76;1,56;2,33
24:00:00 - 25:00:00;1,85;0,90;1,50;1,41;1,59;1,61;1,12;0,71;1,10;0,66;0,42;0,62;0,70;0,99;1,24
25:00:00 - 26:00:00;1,24;0,53;0,96;0,81;1,16;0,97;0,64;0,40;0,70;0,30;0,00;0,29;0,38;0,60;0,82
26:00:00 - 27:00:00;1,08;0,40;0,65;0,71;0,81;0,86;0,51;0,29;0,43;0,38;0,00;0,31;0,25;0,75;0,39
27:00:00 - 28:00:00;0,41;0,18;0,30;0,36;0,39;0,47;0,24;0,13;0,11;0,31;0,19;0,05;0,06;0,36;0,19
28:00:00 - 29:00:00;0,49;0,18;0,36;0,30;0,22;0,24;0,23;0,14;0,21;0,17;0,00;0,11;0,23;0,14;0,24
29:00:00 - 30:00:00;0,44;0,16;0,24;0,24;0,32;0,32;0,18;0,14;0,14;0,12;0,09;0,00;0,10;0,09;0,32
06:00:00 - 30:00:00;24,47;12,09;16,69;16,40;19,67;19,07;13,63;10,65;12,22;11,69;7,56;6,35;7,13;12,28;19,29
;;;;;;;;;;;;;;;
