PROGRAMA;EPISÓDIO;TEMP.;EP;EPISÓDIO
A Arte do Atado;Besouro patagônico;5;5;Besouro patagônico
A Arte do Atado;Formiga feita de tapete;5;1;Formiga feita de tapete
A Arte do Atado;"Isca sapinho de preguiçoso	";5;2;"Isca sapinho de preguiçoso	"
A Arte do Atado;Mini streamer;5;3;Mini streamer
A Arte do Atado;"Streamer Iriko para pescaria de robalo	";5;4;"Streamer Iriko para pescaria de robalo	"
A Meta;A linha;2;5;A linha
A Meta;Estratégias;2;6;Estratégias
A Meta;Jacaré-açu;2;4;Jacaré-açu
A Meta;Persistência;2;7;Persistência
A Meta;Redemoinho;2;3;Redemoinho
Aqua Negócios;Aeração na criação de camarão marinho;3;6;Aeração na criação de camarão marinho
Aqua Negócios;Carcinicultura marinha – sistema trifásico e intensivo;3;5;Carcinicultura marinha – sistema trifásico e intensivo
Aqua Negócios;Larvicultura de camarão marinho;3;7;Larvicultura de camarão marinho
Aqua Negócios;Nutrição Aqua: Desafios, inovações tecnológicas e avanços;3;9;Nutrição Aqua: Desafios, inovações tecnológicas e avanços
Aqua Negócios;Sistema AquaScience da Camanor;3;8;Sistema AquaScience da Camanor
Aquarismo;Aquarismo ruma à região norte do Brasil;4;19;Aquarismo ruma à região norte do Brasil
Aquarismo;As tecnologias por trás de uma gigante do aquarismo;4;10;As tecnologias por trás de uma gigante do aquarismo
Aquarismo;Captura e distribuição dos peixes ornamentais;4;23;Captura e distribuição dos peixes ornamentais
Aquarismo;Conheça o espetacular oceanário de Lisboa;4;11;Conheça o espetacular oceanário de Lisboa
Aquarismo;Conhecendo lojas de aquarismo em Miami;5;2;Conhecendo lojas de aquarismo em Miami
Aquarismo;Manutenção e limpeza de aquário – Parte 1;2;13;Manutenção e limpeza de aquário – Parte 1
Aquarismo;Manutenção e limpeza de aquário – Parte 2;2;14;Manutenção e limpeza de aquário – Parte 2
Aquarismo;Os cuidados com o aquário marinho de coral;2;15;Os cuidados com o aquário marinho de coral
Aquarismo;Os cuidados com o aquário marinho de coral – parte 2;2;16;Os cuidados com o aquário marinho de coral – parte 2
Aquarismo;Os melhores aquários do Brasil;2;17;Os melhores aquários do Brasil
