Faixas de 15min;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
06:00:00 - 06:15:00;0,1408;0,171;0,1615;0,1615;0,1615;0,1615;0,1615;0,0095;0,1615;0;0;0;0,0095;0,1615;0
06:15:00 - 06:30:00;0,1246;0,1426;0,1331;0,1331;0,1331;0,1331;0,1331;0,0095;0,1426;0;0;0;0;0,1118;0,0307
06:30:00 - 06:45:00;0,2484;0,259;0,1463;0,1463;0,1463;0,1463;0,259;0;0,1463;0;0;0;0;0,1919;0,0671
06:45:00 - 07:00:00;0,2888;0,3233;0,153;0,1965;0,153;0,1965;0,2656;0,0577;0,1973;0,0569;0;0;0;0,281;0,0423
07:00:00 - 07:15:00;0,5826;0,7013;0,2683;0,3524;0,2683;0,3524;0,5238;0,1775;0,4872;0,1451;0,1023;0;0;0,3782;0,2208
07:15:00 - 07:30:00;0,8175;1,0457;0,2807;0,5763;0,2807;0,5763;0,7734;0,2723;0,6026;0,3668;0,1408;0;0;0,4589;0,4461
07:30:00 - 07:45:00;0,5011;0,5693;0,0572;0,3354;0,0572;0,3354;0,3354;0,2339;0,2354;0,3339;0;0,01;0;0,2943;0,265
07:45:00 - 08:00:00;0,4061;0,4801;0,065;0,4084;0,065;0,2199;0,438;0,042;0,065;0,3854;0,0173;0;0,2131;0,1701;0,0795
08:00:00 - 08:15:00;0,6615;0,7082;0,0968;0,5015;0,0968;0,433;0,6068;0,1014;0,1129;0,5077;0,0601;0;0,0774;0,3105;0,2602
08:15:00 - 08:30:00;0,8623;0,9536;0,1081;0,4224;0,1081;0,4224;0,5894;0,3642;0,3716;0,3462;0;0,0256;0,0657;0,4901;0,3723
08:30:00 - 08:45:00;1,1318;1,1919;0,0747;0,5755;0,0747;0,5755;0,8997;0,2922;0,2646;0,7109;0;0,0633;0,1442;0,4453;0,5392
08:45:00 - 09:00:00;0,8068;0,8689;0,0103;0,7218;0,0103;0,7142;0,8019;0,0669;0,0191;0,7784;0;0;0,0443;0,3736;0,451
09:00:00 - 09:15:00;0,749;0,7518;0,015;0,6851;0,015;0,577;0,6851;0,0668;0,0271;0,7247;0;0;0,1132;0,4616;0,177
09:15:00 - 09:30:00;1,2347;1,3292;0,1822;0,9726;0,1822;0,7604;1,0409;0,2883;0,3635;0,8974;0;0;0,3586;0,5361;0,4345
09:30:00 - 09:45:00;1,4786;1,5233;0,1392;1,1236;0,1392;1,0044;1,2652;0,2581;0,3822;1,0958;0,0179;0,0785;0,203;0,8578;0,3661
09:45:00 - 10:00:00;1,5447;1,5246;0,1767;1,0476;0,1767;1,0476;1,2516;0,273;0,3423;1,1439;0;0,1308;0,117;0,7826;0,4942
10:00:00 - 10:15:00;1,4468;1,4504;0,1919;0,8213;0,1919;0,8213;1,0869;0,3635;0,2665;0,9193;0,0175;0,0087;0,1293;0,7283;0,5665
10:15:00 - 10:30:00;1,4112;1,534;0,5611;0,9409;0,5611;0,9409;1,2733;0,2607;0,7353;0,5198;0,0915;0;0,0659;0,8026;0,574
10:30:00 - 10:45:00;1,5803;1,6654;0,6218;1,0259;0,5499;0,9541;1,3164;0,349;0,7251;0,7071;0,029;0,0229;0,0932;0,7117;0,8086
10:45:00 - 11:00:00;1,687;1,7332;0,5042;1,191;0,4084;1,0952;1,4487;0,2845;0,6758;0,7843;0,0175;0,1198;0,1086;0,9463;0,541
11:00:00 - 11:15:00;1,391;1,4052;0,3301;0,9542;0,3301;0,9542;1,2035;0,2018;0,5747;0,7254;0,1183;0;0,0863;0,7315;0,4692
11:15:00 - 11:30:00;1,5611;1,5196;0,3827;0,896;0,3827;0,8882;1,1404;0,3793;0,8229;0,6383;0,077;0,0279;0,2001;0,4774;0,7372
11:30:00 - 11:45:00;1,4375;1,7753;0,2785;0,966;0,2381;0,9257;1,0993;0,676;0,9027;0,8725;0,1155;0,2136;0,2313;0,6863;0,5285
11:45:00 - 12:00:00;1,735;1,7535;0,5491;1,1241;0,428;0,9556;1,1569;0,5967;0,9379;0,7861;0,1188;0,1488;0,2043;0,5878;0,6938
12:00:00 - 12:15:00;1,2514;1,296;0,1767;0,552;0,1363;0,4962;0,6038;0,6922;0,8281;0,4306;0,0607;0,1488;0,1743;0,4323;0,4799
12:15:00 - 12:30:00;1,3021;1,6088;0,2999;0,8496;0,2403;0,79;0,9301;0,6788;0,861;0,6765;0,0194;0,1488;0,0687;0,4178;0,9542
12:30:00 - 12:45:00;1,0605;1,3834;0,0804;0,8971;0,0622;0,879;1,0542;0,3292;0,2432;1,0695;0,0665;0,0454;0,052;0,1387;1,0808
12:45:00 - 13:00:00;1,5027;1,7998;0,4597;1,103;0,249;0,8924;1,4347;0,3651;0,755;0,9857;0,2121;0,1524;0,293;0,2045;0,9378
13:00:00 - 13:15:00;1,2749;1,2833;0,3942;0,9186;0,2591;0,7835;0,9501;0,3332;0,4913;0,7606;0,0356;0;0,1351;0,1487;0,964
13:15:00 - 13:30:00;1,7582;1,6921;0,5679;1,0652;0,4101;0,9074;1,1351;0,557;0,8532;0,7255;0,1075;0,0171;0,2524;0,1522;1,1628
13:30:00 - 13:45:00;1,9926;2,0239;0,8038;1,1888;0,669;1,0541;1,2918;0,732;1,4073;0,4421;0,053;0;0,2781;0,2151;1,4778
13:45:00 - 14:00:00;1,7421;1,6272;0,4862;0,7479;0,4276;0,6893;0,9399;0,6873;1,0514;0,3335;0;0,061;0,2104;0,2206;1,1352
14:00:00 - 14:15:00;2,0136;1,871;0,6807;1,2091;0,5725;1,0738;1,4781;0,3929;1,169;0,5906;0,0465;0,0358;0,3145;0,3542;1,12
14:15:00 - 14:30:00;3,4464;3,6636;1,3131;2,2883;1,0662;2,0133;2,8474;0,8162;1,9257;1,3109;0,1125;0,0236;0,6424;0,94;1,9452
14:30:00 - 14:45:00;2,693;3,396;0,8491;1,5946;0,5353;1,2809;2,2899;1,1062;1,9327;1,0283;0,0807;0,1974;0,95;0,7572;1,4107
14:45:00 - 15:00:00;2,5245;3,6317;1,1653;1,856;0,8424;1,516;2,6149;1,0168;2,4534;0,9497;0,0685;0,4143;0,9215;0,8758;1,3517
15:00:00 - 15:15:00;2,8042;3,9411;1,1586;1,8857;0,9433;1,6705;2,5259;1,4153;2,5687;1,2933;0,1977;0,3468;0,6389;0,7511;2,0066
15:15:00 - 15:30:00;2,9446;3,6263;1,5432;2,3943;1,3469;2,1895;2,6623;0,9641;2,4929;1,1334;0,0461;0,1816;0,4508;1,0199;1,928
15:30:00 - 15:45:00;3,6324;3,9705;1,5593;2,7208;1,2906;2,452;2,908;1,0625;2,076;1,687;0,074;0,1109;0,3694;0,6726;2,7437
15:45:00 - 16:00:00;3,2922;3,5103;0,9322;2,1071;0,8019;1,9768;2,4117;1,0986;1,6024;1,4614;0,1027;0,0672;0,2863;0,4144;2,6397
16:00:00 - 16:15:00;2,8016;3,2106;0,8139;1,8275;0,6748;1,6884;2,1973;1,0133;1,4714;1,2427;0,0598;0,2239;0,159;0,5839;2,1839
16:15:00 - 16:30:00;2,8984;3,3778;0,9945;1,9309;0,8642;1,8006;2,373;1,0049;1,6849;1,3442;0,0547;0,1926;0,3104;0,7705;2,0497
16:30:00 - 16:45:00;2,606;3,0765;0,75;1,9321;0,5302;1,6915;2,2897;0,7868;1,1041;1,6212;0,0828;0,1531;0,3435;0,9546;1,5425
16:45:00 - 17:00:00;2,7974;3,1279;0,5885;1,6771;0,4783;1,5669;2,2519;0,8761;0,8389;1,9002;0,3167;0,0566;0,1477;0,7569;1,85
17:00:00 - 17:15:00;2,6211;3,1535;0,2579;1,5339;0,2579;1,5263;2,1571;0,9964;0,5486;2,2355;0,2811;0,0183;0,2195;0,8351;1,7994
17:15:00 - 17:30:00;1,905;2,3177;0,2817;1,2052;0,2817;1,0666;1,7556;0,562;0,4928;1,5192;0,2252;0,0107;0,2208;0,6178;1,2432
17:30:00 - 17:45:00;1,7713;2,0267;0,4562;1,1152;0,4123;0,9031;1,5409;0,4858;0,6553;1,16;0,2357;0,0163;0,2483;0,4468;1,0796
17:45:00 - 18:00:00;1,7441;2,4649;0,2345;1,2768;0,2345;1,1618;1,5858;0,879;0,4396;1,8291;0,1757;0,161;0,2356;0,8047;1,0879
18:00:00 - 18:15:00;1,8146;1,9951;0,5348;1,2707;0,4362;1,0809;1,3613;0,6338;0,9833;0,9572;0,2681;0,0097;0,2698;0,74;0,7075
18:15:00 - 18:30:00;2,5257;2,6059;0,5742;1,4668;0,3433;1,2359;1,5891;1,0169;1,0974;1,3737;0,3779;0,0367;0,2993;0,7157;1,1763
18:30:00 - 18:45:00;2,652;2,9632;0,484;1,5784;0,4031;1,4807;1,6598;1,3034;0,8573;2,0312;0,4014;0,2096;0,2178;0,7936;1,3408
18:45:00 - 19:00:00;2,9053;3,3818;0,683;2,079;0,6703;2,0549;2,2148;1,167;1,1355;2,1286;0,2824;0,1452;0,39;1,0276;1,5366
19:00:00 - 19:15:00;2,7989;3,7363;0,8075;2,1806;0,8075;2,1676;2,2551;1,4812;1,5836;2,0526;0,1517;0,1452;0,2155;1,2985;1,9254
