Horário Início;Programa;Episódio;Temporada;N. Episódio;Horário Termino;Cov_Total_Domicilio;Cov_Total_Individuos;Rat_Total_Domicilio;Rat_Total_Individuos;Ats_Total_Domicilio;Ats_Total_Individuos;Aff_Total_Domicilio;Aff_Total_Individuos
12/05/2018  00:00:00 ;Custom Fishing;Aprenda a fazer uma vara para iscas artificiais leves;1;4;12/05/2018  00:30:00 ;16,216;25,651;8,068;8,014;0:19:38;0:19:32;200;200
12/05/2018  00:30:00 ;Biopesca;Pancadas de tucunaré-azul em serra da mesa;4;10;12/05/2018  01:00:00 ;12,613;6,091;4,141;4,202;0:08:09;0:08:52;200;200
12/05/2018  01:00:00 ;Aquarismo;Manutenção e limpeza de aquário – Parte 1;2;13;12/05/2018  01:30:00 ;4,449;3,495;0,89;0,838;0:03:00;0:03:00;100;100
12/05/2018  01:30:00 ;A Meta;Redemoinho;2;3;12/05/2018  02:30:00 ;39,736;0;13,957;18,249;0:18:24;0:16:17;300;200
12/05/2018  02:30:00 ;Pesque e Pague;Pescaria e amizade na Estância Pesqueira Campos;6;7;12/05/2018  03:30:00 ;4,518;0;0,904;1,56;0:03:00;0:03:00;100;100
12/05/2018  03:30:00 ;Pasión Por La Pesca;Pescaria variada em Itatí;5;23;12/05/2018  04:00:00 ;0;8,112;0;0;0:00:00;0:00:00;0;0
12/05/2018  04:00:00 ;FishTV Teste;Carretilha Sephia e linha Tacom;4;12;12/05/2018  04:30:00 ;10,706;0;7,494;8,69;0:21:00;0:21:00;200;200
12/05/2018  04:30:00 ;Na Pegada do Fly;A pegada dos dourados argentinos;7;5;12/05/2018  05:30:00 ;10,706;0;7,851;9,103;0:22:00;0:22:00;200;200
12/05/2018  05:30:00 ;A Arte do Atado;Formiga feita de tapete;5;1;12/05/2018  06:00:00 ;0;0;0;0;0:00:00;0:00:00;0;0
12/05/2018  06:00:00 ;A Meta;Redemoinho;2;3;12/05/2018  07:00:00 ;0;0;0;0;0:00:00;0:00:00;0;0
12/05/2018  07:00:00 ;Pesca Dinâmica;Expedição Pantanal – rodada e corrico;3;7;12/05/2018  07:30:00 ;0;6,9;0;0;0:00:00;0:00:00;0;0
12/05/2018  07:30:00 ;Sabores;Carne suína e legumes assados, sanduíche de carne desfiada e banana assada;2;3;12/05/2018  08:00:00 ;4,929;0;0,329;0,935;0:01:00;0:01:00;100;100
12/05/2018  08:00:00 ;Na Pegada do Fly;A pegada dos dourados argentinos;7;5;12/05/2018  09:00:00 ;3,087;33,242;0,206;18,509;0:01:00;0:01:00;100;118,356
12/05/2018  09:00:00 ;Momento da Pesca;Pesca variada no rio Cururu;6;24;12/05/2018  10:00:00 ;10,099;8,112;3,949;2,49;0:20:00;0:13:00;300;100
12/05/2018  10:00:00 ;Provas e Torneios;Circuito Brasil-Sul 2018 – 1ª Etapa – Imbé-RS;5;25;12/05/2018  10:30:00 ;0;18,406;0;0;0:00:00;0:00:00;0;0
12/05/2018  10:30:00 ;Pesque e Pague;Pescaria e amizade na Estância Pesqueira Campos;6;7;12/05/2018  11:30:00 ;22,002;36,324;9,834;40,02;0:23:31;0:23:12;400;232,268
12/05/2018  11:30:00 ;Destinos;Navegue pelo Rio Negro com a Ecofishing – parte 2;4;28;12/05/2018  12:00:00 ;8,889;24,108;0,95;0,894;0:03:00;0:03:00;200;200
12/05/2018  12:00:00 ;Pesca Dinâmica;Expedição Pantanal – rodada e corrico;3;7;12/05/2018  12:30:00 ;3,277;17,722;0,655;1,156;0:03:00;0:03:00;100;100
12/05/2018  12:30:00 ;Coração de Pescador;Bargadas e Cacharas no rio Araguaia, em Goiás;4;22;12/05/2018  13:00:00 ;9,134;13,54;1,519;1,316;0:02:30;0:02:33;100;100
12/05/2018  13:00:00 ;Biopesca;Peixes variados em Juruena;5;8;12/05/2018  13:30:00 ;13,186;20,416;1,69;1,416;0:05:00;0:05:00;200;200
12/05/2018  13:30:00 ;Aqua Negócios;Carcinicultura marinha – sistema trifásico e intensivo;3;5;12/05/2018  14:00:00 ;7,238;27,56;0,483;0,59;0:01:00;0:01:00;100;100
12/05/2018  14:00:00 ;Momento da Pesca;Pesca de caiaque no piscoso rio Teles Pires;7;7;12/05/2018  15:00:00 ;25,817;31,172;7,705;16,928;0:13:45;0:13:38;300;114,8
12/05/2018  15:00:00 ;Fishing Guide;Esportiva pesca na Argentina;2;12;12/05/2018  15:30:00 ;10,701;14,53;0,87;0,878;0:02:18;0:02:21;200;200
12/05/2018  15:30:00 ;Fish TV News;Empresas Campeonato Brasileiro em Pesqueiros 1;5;2;12/05/2018  16:00:00 ;2,901;50,33;1,547;1,299;0:08:00;0:08:00;100;100
12/05/2018  16:00:00 ;Saltwater;Pescaria de robalos com jig head;2;3;12/05/2018  16:30:00 ;22,781;20,335;5,971;4,731;0:08:00;0:08:20;200;200
12/05/2018  16:30:00 ;Aquarismo;As tecnologias por trás de uma gigante do aquarismo;4;10;12/05/2018  17:00:00 ;4,89;37,02;0,978;0,621;0:03:00;0:03:00;100;100
12/05/2018  17:00:00 ;Campeonato Brasileiro em Pesqueiros;Etapa Parque Maeda 3 – 1º parte;1;13;12/05/2018  18:00:00 ;5,787;84,55;0,462;50,652;0:03:00;0:03:00;200;250,2
12/05/2018  18:00:00 ;Aquarismo;As tecnologias por trás de uma gigante do aquarismo;4;10;12/05/2018  18:30:00 ;3,536;30,892;0,707;0,706;0:03:00;0:03:00;100;100
12/05/2018  18:30:00 ;Pura Pesca;Pescaria de tucunarés pelos afluentes do rio Negro;2;14;12/05/2018  19:30:00 ;20,08;56,308;4,922;51,185;0:09:07;0:08:53;300;147,8
12/05/2018  19:30:00 ;Saltwater;Pescaria de robalos com jig head;2;3;12/05/2018  20:00:00 ;12,117;33,387;2,67;2,507;0:05:22;0:05:27;200;200
12/05/2018  20:00:00 ;Na Pegada do Fly;A pegada dos dourados argentinos;7;5;12/05/2018  21:00:00 ;49,877;54,328;9,773;44,72;0:11:53;0:11:30;400;237,88
12/05/2018  21:00:00 ;A Arte do Atado;Formiga feita de tapete;5;1;12/05/2018  21:30:00 ;19,572;33,64;4,803;4,874;0:07:20;0:07:13;200;200
12/05/2018  21:30:00 ;Elas na Pesca;Pescando nos canais do Aquafort;4;7;12/05/2018  22:00:00 ;11,133;35;1,774;1,7;0:05:06;0:05:07;200;200
12/05/2018  22:00:00 ;Sabores;Carne suína e legumes assados, sanduíche de carne desfiada e banana assada;2;3;12/05/2018  22:30:00 ;11,436;13,116;4,062;4,07;0:14:54;0:14:57;200;200
12/05/2018  22:30:00 ;Campeonato Brasileiro em Pesqueiros;Etapa Parque Maeda 3 – 1º parte;1;13;12/05/2018  23:30:00 ;22,876;27,672;13,131;25,276;0:38:11;0:38:04;400;219,56
