Horário Início;;INT1;INTE2;INTE3;INTE4;;Programa;;Episódio;;Temporada;;N. Episódio;;INT1;INTE2;INTE3;INTE4;;Total_Domicilio;;INT1;INTE2;INTE3;INTE4;;Total_Individuos;
12/05/2018  00:00:00 ;;24:00:00 - 24:15:00;24:15:00 - 24:30:00;;;;Custom Fishing;;Aprenda a fazer uma vara para iscas artificiais leves;;1;;4;;00:14:00;00:05:38;;;;00:19:38;;00:14:00;00:05:32;;;;00:19:32;
12/05/2018  00:30:00 ;;24:30:00 - 24:45:00;24:45:00 - 25:00:00;;;;Biopesca;;Pancadas de tucunaré-azul em serra da mesa;;4;;10;;00:07:09;00:01:00;;;;00:08:09;;00:07:52;00:01:00;;;;00:08:52;
12/05/2018  01:00:00 ;;25:00:00 - 25:15:00;25:15:00 - 25:30:00;;;;Aquarismo;;Manutenção e limpeza de aquário – Parte 1;;2;;13;;00:00:00;00:03:00;;;;00:03:00;;00:00:00;00:03:00;;;;00:03:00;
12/05/2018  01:30:00 ;;25:30:00 - 25:45:00;25:45:00 - 26:00:00;26:00:00 - 26:15:00;26:15:00 - 26:30:00;;A Meta;;Redemoinho;;2;;3;;00:03:58;00:11:26;00:03:00;00:00:00;;00:18:24;;00:05:14;00:08:25;00:02:38;00:00:00;;00:16:17;
12/05/2018  02:30:00 ;;26:30:00 - 26:45:00;26:45:00 - 27:00:00;27:00:00 - 27:15:00;27:15:00 - 27:30:00;;Pesque e Pague;;Pescaria e amizade na Estância Pesqueira Campos;;6;;7;;00:03:00;00:00:00;00:00:00;00:00:00;;00:03:00;;00:03:00;00:00:00;00:00:00;00:00:00;;00:03:00;
12/05/2018  03:30:00 ;;27:30:00 - 27:45:00;27:45:00 - 28:00:00;;;;Pasión Por La Pesca;;Pescaria variada em Itatí;;5;;23;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
12/05/2018  04:00:00 ;;28:00:00 - 28:15:00;28:15:00 - 28:30:00;;;;FishTV Teste;;Carretilha Sephia e linha Tacom;;4;;12;;00:06:00;00:15:00;;;;00:21:00;;00:06:00;00:15:00;;;;00:21:00;
12/05/2018  04:30:00 ;;28:30:00 - 28:45:00;28:45:00 - 29:00:00;29:00:00 - 29:15:00;29:15:00 - 29:30:00;;Na Pegada do Fly;;A pegada dos dourados argentinos;;7;;5;;00:15:00;00:07:00;00:00:00;00:00:00;;00:22:00;;00:15:00;00:07:00;00:00:00;00:00:00;;00:22:00;
12/05/2018  05:30:00 ;;29:30:00 - 29:45:00;29:45:00 - 30:00:00;;;;A Arte do Atado;;Formiga feita de tapete;;5;;1;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
12/05/2018  06:00:00 ;;06:00:00 - 06:15:00;06:15:00 - 06:30:00;06:30:00 - 06:45:00;06:45:00 - 07:00:00;;A Meta;;Redemoinho;;2;;3;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;
