Horário Início;;Programa;;Episódio;;Temporada;;N. Episódio;;Cov_INT1;Cov_INTE2;Cov_INTE3;Cov_INTE4;;Cov_Total_Domicilio;;Cov_INT1;Cov_INTE2;Cov_INTE3;Cov_INTE4;;Cov_Total_Individuos;;Rat_INT1;Rat_INTE2;Rat_INTE3;Rat_INTE4;;Rat_Total_Domicilio;;Rat_INT1;Rat_INTE2;Rat_INTE3;Rat_INTE4;;Rat_Total_Individuos;;Ats_INT1;Ats_INTE2;Ats_INTE3;Ats_INTE4;;Ats_Total_Domicilio;;Ats_INT1;Ats_INTE2;Ats_INTE3;Ats_INTE4;;Ats_Total_Individuos;;;Aff_INT1;Aff_INTE2;Aff_INTE3;Aff_INTE4;;Aff_Total_Domicilio;;Aff_INT1;Aff_INTE2;Aff_INTE3;Aff_INTE4;;Aff_Total_Individuos;;Horário Termino
12/05/2018  00:00:00 ;;Custom Fishing;;Aprenda a fazer uma vara para iscas artificiais leves;;1;;4;;3.536;12,68;;;;16,216;;19,56;6,091;;;;25,651;;3,3;4,768;;;;8,068;;3,335;4,679;;;;8,014;;0:14:00;00:05:38;;;;0:19:38;;0:14:00;0:05:32;;;;0:19:32;;;3.536;12,68;;;;16,216;;19,56;6,091;;;;25,651;;#REF!
12/05/2018  00:30:00 ;;Biopesca;;Pancadas de tucunaré-azul em serra da mesa;;4;;10;;8,052;4,561;;;;12,613;;6,091;0;;;;6,091;;3,837;0,304;;;;4,141;;3,821;0,381;;;;4,202;;0:07:09;00:01:00;;;;0:08:09;;0:07:52;0:01:00;;;;0:08:52;;;8,052;4,561;;;;12,613;;6,091;0;;;;6,091;;19/02/2018  01:00:00 
12/05/2018  01:00:00 ;;Aquarismo;;Manutenção e limpeza de aquário – Parte 1;;2;;13;;0;4,449;;;;4,449;;0;3,495;;;;3,495;;0;0,89;;;;0,89;;0;0,838;;;;0,838;;00:00:00;00:03:00;;;;0:03:00;;0:00:00;0:03:00;;;;0:03:00;;;0;4,449;;;;4,449;;0;3,495;;;;3,495;;19/02/2018  02:00:00 
12/05/2018  01:30:00 ;;A Meta;;Redemoinho;;2;;3;;21,53;8,231;9,975;0;;39,736;;0;0;0;0;;0;;5,691;6,275;1,991;0;;13,957;;10,41;7,839;0;0;;18,249;;00:03:58;00:11:26;0:03:00;0:00:00;;0:18:24;;0:05:14;0:08:25;0:02:38;0:00:00;;0:16:17;;;21,53;8,231;9,975;0;;39,736;;0;0;0;0;;0;;19/02/2018  02:30:00 
12/05/2018  02:30:00 ;;Pesque e Pague;;Pescaria e amizade na Estância Pesqueira Campos;;6;;7;;4,518;0;0;0;;4,518;;0;0;0;0;;0;;0,904;0;0;0;;0,904;;1,56;0;0;0;;1,56;;00:03:00;00:00:00;0:00:00;0:00:00;;0:03:00;;0:03:00;0:00:00;0:00:00;0:00:00;;0:03:00;;;4,518;0;0;0;;4,518;;0;0;0;0;;0;;19/02/2018  03:30:00 
12/05/2018  03:30:00 ;;Pasión Por La Pesca;;Pescaria variada em Itatí;;5;;23;;0;0;;;;0;;4,056;4,056;;;;8,112;;0;0;;;;0;;0;0;;;;0;;00:00:00;00:00:00;;;;0:00:00;;0:00:00;0:00:00;;;;0:00:00;;;0;0;;;;0;;4,056;4,056;;;;8,112;;19/02/2018  04:00:00 
12/05/2018  04:00:00 ;;FishTV Teste;;Carretilha Sephia e linha Tacom;;4;;12;;5,353;5,353;;;;10,706;;0;0;;;;0;;2,141;5,353;;;;7,494;;2,483;6,207;;;;8,69;;00:06:00;00:15:00;;;;0:21:00;;0:06:00;0:15:00;;;;0:21:00;;;5,353;5,353;;;;10,706;;0;0;;;;0;;19/02/2018  04:30:00 
12/05/2018  04:30:00 ;;Na Pegada do Fly;;A pegada dos dourados argentinos;;7;;5;;5,353;5,353;0;0;;10,706;;0;0;0;0;;0;;5,353;2,498;0;0;;7,851;;6,207;2,896;0;0;;9,103;;00:15:00;00:07:00;0:00:00;0:00:00;;0:22:00;;0:15:00;0:07:00;0:00:00;0:00:00;;0:22:00;;;5,353;5,353;0;0;;10,706;;0;0;0;0;;0;;19/02/2018  05:00:00 
12/05/2018  05:30:00 ;;A Arte do Atado;;Formiga feita de tapete;;5;;1;;0;0;;;;0;;0;0;;;;0;;0;0;;;;0;;0;0;;;;0;;00:00:00;00:00:00;;;;0:00:00;;0:00:00;0:00:00;;;;0:00:00;;;0;0;;;;0;;0;0;;;;0;;19/02/2018  05:30:00 
12/05/2018  06:00:00 ;;A Meta;;Redemoinho;;2;;3;;0;0;0;0;;0;;4,268;0;0;0;;0;;0;0;0;0;;0;;0;0;0;0;;0;;00:00:00;00:00:00;0:00:00;0:00:00;;0:00:00;;0:00:00;0:00:00;0:00:00;0:00:00;;0:00:00;;;0;0;0;0;;0;;4,268;0;0;0;;0;;19/02/2018  06:00:00 
