Mês: Maio/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Praça: PNT Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Target:;Domicílios c/pay tv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Indivíduos c/pay tv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HH ABC 25+ c/pay tv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HH AB 35+ c/pay tv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HH ABC 35+ c/pay tv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas de 15min;12/5;13/5;14/5;15/5;16/5;17/5;18/5;19/5;20/5;21/5;22/5;23/5;24/5;25/5;26/5;27/5;28/5;29/5;30/5;31/5;1/6;2/6;3/6;4/6;5/6;6/6;7/6;8/6;9/6;10/6;[TOTAL];12/5;13/5;14/5;15/5;16/5;17/5;18/5;19/5;20/5;21/5;22/5;23/5;24/5;25/5;26/5;27/5;28/5;29/5;30/5;31/5;1/6;2/6;3/6;4/6;5/6;6/6;7/6;8/6;9/6;10/6;[TOTAL];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:00:00 - 06:15:00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:15:00 - 06:30:00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;100,00;n.a;n.a;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;100,00;n.a;n.a;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:30:00 - 06:45:00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;100,00;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;100,00;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:45:00 - 07:00:00;n.a;n.a;100,00;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;n.a;n.a;100,00;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;100,00;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;n.a;n.a;100,00;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:00:00 - 07:15:00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;100,00;n.a;100,00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;100,00;n.a;100,00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:15:00 - 07:30:00;n.a;100,00;n.a;100,00;100,00;n.a;n.a;n.a;100,00;n.a;100,00;n.a;n.a;100,00;100,00;100,00;n.a;n.a;n.a;n.a;n.a;n.a;100,00;100,00;100,00;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;100,00;100,00;n.a;n.a;n.a;100,00;n.a;100,00;n.a;n.a;100,00;100,00;100,00;n.a;n.a;n.a;n.a;n.a;n.a;100,00;100,00;100,00;n.a;n.a;n.a;n.a;n.a;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:30:00 - 07:45:00;100,00;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;100,00;n.a;n.a;n.a;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;100,00;100,00;n.a;n.a;n.a;100,00;100,00;n.a;100,00;100,00;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;100,00;n.a;n.a;n.a;n.a;100,00;n.a;n.a;n.a;n.a;n.a;n.a;100,00;100,00;n.a;n.a;n.a;100,00;100,00;n.a;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:45:00 - 08:00:00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;100,00;n.a;n.a;n.a;100,00;100,00;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;100,00;100,00;n.a;n.a;n.a;n.a;n.a;n.a;n.a;100,00;n.a;n.a;100,00;n.a;n.a;n.a;100,00;100,00;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;100,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:00:00 - 08:15:00;100,00;100,00;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;100,00;100,00;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;100,00;100,00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;100,00;100,00;100,00;100,00;n.a;n.a;n.a;n.a;100,00;n.a;100,00;n.a;100,00;100,00;n.a;n.a;n.a;n.a;n.a;100,00;n.a;100,00;100,00;100,00;n.a;100,00;n.a;n.a;n.a;n.a;n.a;100,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:15:00 - 08:30:00;n.a;100,00;100,00;n.a;n.a;n.a;100,00;n.a;100,00;n.a;100,00;100,00;100,00;n.a;n.a;n.a;n.a;100,00;n.a;n.a;100,00;100,00;100,00;n.a;100,00;n.a;n.a;n.a;100,00;n.a;100,00;n.a;100,00;100,00;n.a;n.a;n.a;100,00;n.a;100,00;n.a;100,00;100,00;100,00;n.a;n.a;n.a;n.a;100,00;n.a;n.a;100,00;100,00;100,00;n.a;100,00;n.a;n.a;n.a;100,00;n.a;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
