;;MINERAÇÃO BRUTA - IBOPE x GRADE DE PROGRAMAS;;;;;;;;;;;;;;;
;;IBOPE;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
GRADE PROGRAMAS;;Intervalos ;;;;;GRADE PROGRAMAS;;;;;;;;;;
Horário Início;;INT1;INTE2;INTE3;INTE4;;Programa;;Episódio;;Temporada;;N. Episódio;;Horário Termino;;Horário
12/05/2018  00:00:00 ;;24:00:00 - 24:15:00;24:15:00 - 24:30:00;;;;Custom Fishing;;Aprenda a fazer uma vara para iscas artificiais leves;;1;;4;;12/05/2018  00:30:00 ;;00:00
12/05/2018  00:30:00 ;;24:30:00 - 24:45:00;24:45:00 - 25:00:00;;;;Biopesca;;Pancadas de tucunaré-azul em serra da mesa;;4;;10;;12/05/2018  01:00:00 ;;00:30
12/05/2018  01:00:00 ;;25:00:00 - 25:15:00;25:15:00 - 25:30:00;;;;Aquarismo;;Manutenção e limpeza de aquário – Parte 1;;2;;13;;12/05/2018  01:30:00 ;;01:00
12/05/2018  01:30:00 ;;25:30:00 - 25:45:00;25:45:00 - 26:00:00;26:00:00 - 26:15:00;26:15:00 - 26:30:00;;A Meta;;Redemoinho;;2;;3;;12/05/2018  02:30:00 ;;01:30
12/05/2018  02:30:00 ;;26:30:00 - 26:45:00;26:45:00 - 27:00:00;27:00:00 - 27:15:00;27:15:00 - 27:30:00;;Pesque e Pague;;Pescaria e amizade na Estância Pesqueira Campos;;6;;7;;12/05/2018  03:30:00 ;;02:30
12/05/2018  03:30:00 ;;27:30:00 - 27:45:00;27:45:00 - 28:00:00;;;;Pasión Por La Pesca;;Pescaria variada em Itatí;;5;;23;;12/05/2018  04:00:00 ;;03:30
12/05/2018  04:00:00 ;;28:00:00 - 28:15:00;28:15:00 - 28:30:00;;;;FishTV Teste;;Carretilha Sephia e linha Tacom;;4;;12;;12/05/2018  04:30:00 ;;04:00
12/05/2018  04:30:00 ;;28:30:00 - 28:45:00;28:45:00 - 29:00:00;29:00:00 - 29:15:00;29:15:00 - 29:30:00;;Na Pegada do Fly;;A pegada dos dourados argentinos;;7;;5;;12/05/2018  05:30:00 ;;04:30
12/05/2018  05:30:00 ;;29:30:00 - 29:45:00;29:45:00 - 30:00:00;;;;A Arte do Atado;;Formiga feita de tapete;;5;;1;;12/05/2018  06:00:00 ;;05:30
12/05/2018  06:00:00 ;;06:00:00 - 06:15:00;06:15:00 - 06:30:00;06:30:00 - 06:45:00;06:45:00 - 07:00:00;;A Meta;;Redemoinho;;2;;3;;12/05/2018  07:00:00 ;;06:00
12/05/2018  07:00:00 ;;07:00:00 - 07:15:00;07:15:00 - 07:30:00;;;;Pesca Dinâmica;;Expedição Pantanal – rodada e corrico;;3;;7;;12/05/2018  07:30:00 ;;07:00
12/05/2018  07:30:00 ;;07:30:00 - 07:45:00;07:45:00 - 08:00:00;;;;Sabores;;Carne suína e legumes assados, sanduíche de carne desfiada e banana assada;;2;;3;;12/05/2018  08:00:00 ;;07:30
12/05/2018  08:00:00 ;;08:00:00 - 08:15:00;08:15:00 - 08:30:00;08:30:00 - 08:45:00;08:45:00 - 09:00:00;;Na Pegada do Fly;;A pegada dos dourados argentinos;;7;;5;;12/05/2018  09:00:00 ;;08:00
12/05/2018  09:00:00 ;;09:00:00 - 09:15:00;09:15:00 - 09:30:00;09:30:00 - 09:45:00;09:45:00 - 10:00:00;;Momento da Pesca;;Pesca variada no rio Cururu;;6;;24;;12/05/2018  10:00:00 ;;09:00
12/05/2018  10:00:00 ;;10:00:00 - 10:15:00;10:15:00 - 10:30:00;;;;Provas e Torneios;;Circuito Brasil-Sul 2018 – 1ª Etapa – Imbé-RS;;5;;25;;12/05/2018  10:30:00 ;;10:00
12/05/2018  10:30:00 ;;10:30:00 - 10:45:00;10:45:00 - 11:00:00;11:00:00 - 11:15:00;11:15:00 - 11:30:00;;Pesque e Pague;;Pescaria e amizade na Estância Pesqueira Campos;;6;;7;;12/05/2018  11:30:00 ;;10:30
12/05/2018  11:30:00 ;;11:30:00 - 11:45:00;11:45:00 - 12:00:00;;;;Destinos;;Navegue pelo Rio Negro com a Ecofishing – parte 2;;4;;28;;12/05/2018  12:00:00 ;;11:30
12/05/2018  12:00:00 ;;12:00:00 - 12:15:00;12:15:00 - 12:30:00;;;;Pesca Dinâmica;;Expedição Pantanal – rodada e corrico;;3;;7;;12/05/2018  12:30:00 ;;12:00
12/05/2018  12:30:00 ;;12:30:00 - 12:45:00;12:45:00 - 13:00:00;;;;Coração de Pescador;;Bargadas e Cacharas no rio Araguaia, em Goiás;;4;;22;;12/05/2018  13:00:00 ;;12:30
12/05/2018  13:00:00 ;;13:00:00 - 13:15:00;13:15:00 - 13:30:00;;;;Biopesca;;Peixes variados em Juruena;;5;;8;;12/05/2018  13:30:00 ;;13:00
12/05/2018  13:30:00 ;;13:30:00 - 13:45:00;13:45:00 - 14:00:00;;;;Aqua Negócios;;Carcinicultura marinha – sistema trifásico e intensivo;;3;;5;;12/05/2018  14:00:00 ;;13:30
