ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
5334;28/12/2017 13:05;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 69,90;R$ 0,00;R$ 18,79;R$ 88,69
5333;28/12/2017 07:27;ENTREGUE;MOIP Boleto;Mobile;1;R$ 39,90;R$ 0,00;R$ 49,58;R$ 89,48
5331;27/12/2017 14:48;DESPACHADO;MOIP CC 2x;Desktop;1;R$ 79,90;R$ 4,00;R$ 38,23;R$ 114,14
5330;27/12/2017 10:33;ENTREGUE;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 19,11;R$ 89,01
5329;25/12/2017 12:59;ENTREGUE;MOIP CC 5x;Mobile;3;R$ 159,70;R$ 0,00;R$ 42,75;R$ 202,45
5328;23/12/2017 19:37;ENTREGUE;MOIP CC 1x;Mobile;2;R$ 79,80;R$ 0,00;R$ 18,79;R$ 98,59
5327;23/12/2017 13:11;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 149,80;R$ 0,00;R$ 18,79;R$ 168,59
5324;22/12/2017 13:30;ENTREGUE;MOIP CC 6x;Desktop;2;R$ 279,80;R$ 0,00;R$ 34,67;R$ 314,47
5323;22/12/2017 12:10;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 79,90;R$ 0,00;R$ 26,99;R$ 106,89
5322;22/12/2017 10:10;ENTREGUE;MOIP Boleto;Desktop;1;R$ 29,90;R$ 0,00;R$ 30,08;R$ 59,98
5321;22/12/2017 09:04;ENTREGUE;MOIP Boleto;Desktop;2;R$ 99,80;R$ 0,00;R$ 23,21;R$ 123,01
5320;21/12/2017 19:03;ENTREGUE;MOIP CC 6x;Mobile;3;R$ 209,70;R$ 0,00;R$ 38,23;R$ 247,93
5319;21/12/2017 15:59;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 79,90;R$ 0,00;R$ 18,79;R$ 98,69
5318;20/12/2017 13:18;ENTREGUE;MOIP CC 2x;Desktop;2;R$ 99,80;R$ 0,00;R$ 13,15;R$ 112,95
5316;19/12/2017 17:44;ENTREGUE;MOIP Boleto;Desktop;5;R$ 279,50;R$ 0,00;R$ 29,45;R$ 308,95
5315;18/12/2017 23:28;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 79,90;R$ 0,00;R$ 23,21;R$ 103,11
5313;17/12/2017 15:30;ENTREGUE;MOIP CC 3x;Mobile;3;R$ 229,70;R$ 0,00;R$ 58,96;R$ 288,66
5312;17/12/2017 15:26;ENTREGUE;MOIP CC 3x;Mobile;1;R$ 199,90;R$ 0,00;R$ 49,58;R$ 249,48
5311;17/12/2017 13:34;ENTREGUE;MOIP CC 6x;Desktop;2;R$ 167,80;R$ 0,00;R$ 16,33;R$ 184,13
5310;16/12/2017 14:29;ENTREGUE;MOIP CC 2x;Desktop;5;R$ 415,50;R$ 0,00;R$ 5,96;R$ 421,46
5309;16/12/2017 14:26;ENTREGUE;MOIP Boleto;Desktop;2;R$ 157,80;R$ 7,89;R$ 25,72;R$ 175,63
5307;15/12/2017 23:08;ENTREGUE;MOIP CC 3x;Mobile;1;R$ 79,90;R$ 0,00;R$ 38,23;R$ 118,13
5305;15/12/2017 14:50;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 119,80;R$ 0,00;R$ 35,93;R$ 155,73
5304;15/12/2017 14:15;ENTREGUE;MOIP CC 6x;Mobile;2;R$ 149,80;R$ 0,00;R$ 16,33;R$ 166,13
5303;15/12/2017 14:10;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 79,90;R$ 0,00;R$ 18,79;R$ 98,69
5302;15/12/2017 12:42;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 87,90;R$ 0,00;R$ 23,21;R$ 111,11
5300;14/12/2017 08:42;ENTREGUE;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 38,23;R$ 118,13
5299;14/12/2017 00:32;ENTREGUE;MOIP CC 3x;Mobile;1;R$ 69,90;R$ 0,00;R$ 23,21;R$ 93,11
5298;14/12/2017 00:26;ENTREGUE;MOIP CC 3x;Mobile;3;R$ 187,70;R$ 0,00;R$ 79,35;R$ 267,05
5297;13/12/2017 19:26;ENTREGUE;MOIP CC 6x;Mobile;4;R$ 295,60;R$ 0,00;R$ 31,37;R$ 326,97
5296;13/12/2017 16:36;ENTREGUE;MOIP Boleto;Mobile;2;R$ 59,80;R$ 0,00;R$ 24,47;R$ 84,27
5294;13/12/2017 15:24;APROVADO CRÉDITO;MOIP CC 2x;Desktop;2;R$ 159,80;R$ 89,90;R$ 0,00;R$ 69,90
5293;13/12/2017 12:40;ENTREGUE;MOIP CC 3x;Mobile;2;R$ 159,80;R$ 0,00;R$ 38,23;R$ 198,03
5290;12/12/2017 23:51;ENTREGUE;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 24,47;R$ 104,37
5289;12/12/2017 20:33;ENTREGUE;MOIP Boleto;Desktop;2;R$ 157,80;R$ 0,00;R$ 24,47;R$ 182,27
5287;12/12/2017 17:41;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 119,80;R$ 0,00;R$ 20,82;R$ 140,62
5286;12/12/2017 11:13;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 137,80;R$ 0,00;R$ 38,23;R$ 176,03
5284;12/12/2017 09:54;ENTREGUE;MOIP CC 3x;Desktop;1;R$ 69,90;R$ 0,00;R$ 19,11;R$ 89,01
