ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
5780;16/05/2018 08:27;APROVADO CRÉDITO;MOIP CC 5x;Desktop;1;R$ 69,90;R$ 0,00;R$ 23,21;R$ 93,11
5777;15/05/2018 16:28;APROVADO CRÉDITO;MOIP Boleto;Desktop;3;R$ 129,70;R$ 0,00;R$ 30,08;R$ 159,78
5775;14/05/2018 23:07;APROVADO CRÉDITO;MOIP CC 6x;Desktop;2;R$ 79,80;R$ 0,00;R$ 10,46;R$ 90,26
5774;14/05/2018 19:02;APROVADO CRÉDITO;MOIP CC 6x;Mobile;2;R$ 79,80;R$ 0,00;R$ 23,21;R$ 103,01
5773;14/05/2018 13:33;DESPACHADO;MOIP CC 6x;Desktop;2;R$ 159,80;R$ 0,00;R$ 23,21;R$ 183,01
5771;13/05/2018 23:37;APROVADO CRÉDITO;MOIP Boleto;Mobile;3;R$ 215,70;R$ 0,00;R$ 18,79;R$ 234,49
5769;12/05/2018 21:36;DESPACHADO;MOIP CC 1x;Mobile;1;R$ 79,90;R$ 0,00;R$ 21,00;R$ 100,90
5767;12/05/2018 14:18;DESPACHADO;MOIP CC 1x;Desktop;1;R$ 69,90;R$ 0,00;R$ 21,00;R$ 90,90
5766;12/05/2018 12:56;APROVADO CRÉDITO;MOIP Boleto;Mobile;2;R$ 149,80;R$ 0,00;R$ 49,58;R$ 199,38
5765;11/05/2018 22:44;DESPACHADO;MOIP CC 6x;Mobile;3;R$ 177,70;R$ 0,00;R$ 38,23;R$ 215,93
5763;11/05/2018 19:22;DESPACHADO;MOIP CC 6x;Mobile;1;R$ 69,90;R$ 0,00;R$ 18,79;R$ 88,69
5762;11/05/2018 16:54;DESPACHADO;MOIP CC 3x;Mobile;1;R$ 79,90;R$ 0,00;R$ 26,99;R$ 106,89
5761;11/05/2018 16:13;DESPACHADO;MOIP CC 1x;Desktop;2;R$ 159,80;R$ 0,00;R$ 49,58;R$ 209,38
5759;11/05/2018 15:19;DESPACHADO;MOIP Boleto;Desktop;1;R$ 34,90;R$ 0,00;R$ 24,47;R$ 59,37
5758;11/05/2018 13:19;APROVADO CRÉDITO;MOIP CC 4x;Mobile;5;R$ 329,50;R$ 0,00;R$ 38,23;R$ 367,73
5757;11/05/2018 11:13;ENTREGUE;MOIP CC 6x;Desktop;6;R$ 449,40;R$ 0,00;R$ 38,23;R$ 487,63
5752;11/05/2018 01:53;DESPACHADO;MOIP CC 1x;Desktop;2;R$ 69,80;R$ 0,00;R$ 18,79;R$ 88,59
5751;10/05/2018 17:40;DESPACHADO;MOIP CC 5x;Desktop;5;R$ 415,50;R$ 0,00;R$ 20,27;R$ 435,77
5750;10/05/2018 17:04;DESPACHADO;MOIP CC 3x;Desktop;1;R$ 79,90;R$ 0,00;R$ 23,21;R$ 103,11
5749;10/05/2018 15:55;DESPACHADO;MOIP CC 2x;Desktop;4;R$ 269,60;R$ 13,48;R$ 47,38;R$ 303,50
5747;10/05/2018 14:14;DESPACHADO;MOIP CC 6x;Desktop;3;R$ 239,70;R$ 0,00;R$ 23,21;R$ 262,91
5746;10/05/2018 11:02;DESPACHADO;MOIP CC 6x;Desktop;2;R$ 159,80;R$ 0,00;R$ 21,00;R$ 180,80
5745;09/05/2018 11:40;ENTREGUE;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 21,00;R$ 100,90
5744;09/05/2018 11:31;ENTREGUE;MOIP Boleto;Desktop;2;R$ 159,80;R$ 0,00;R$ 18,79;R$ 178,59
5743;09/05/2018 11:14;ENTREGUE;MOIP CC 2x;Mobile;2;R$ 79,80;R$ 0,00;R$ 38,23;R$ 118,03
5741;08/05/2018 20:39;DESPACHADO;MOIP CC 1x;Desktop;2;R$ 159,80;R$ 0,00;R$ 21,00;R$ 180,80
5740;08/05/2018 19:17;DESPACHADO;MOIP Boleto;Mobile;2;R$ 89,80;R$ 0,00;R$ 30,08;R$ 119,88
5738;08/05/2018 17:26;ENTREGUE;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 30,08;R$ 109,98
5737;08/05/2018 17:11;ENTREGUE;MOIP Boleto;Desktop;4;R$ 179,60;R$ 0,00;R$ 38,23;R$ 217,83
5736;08/05/2018 17:08;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 69,90;R$ 0,00;R$ 19,11;R$ 89,01
5735;08/05/2018 12:53;ENTREGUE;MOIP CC 5x;Desktop;1;R$ 79,90;R$ 0,00;R$ 23,21;R$ 103,11
5734;07/05/2018 22:02;ENTREGUE;MOIP CC 6x;Mobile;2;R$ 159,80;R$ 0,00;R$ 38,23;R$ 198,03
5732;07/05/2018 15:32;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 69,90;R$ 0,00;R$ 21,00;R$ 90,90
5731;07/05/2018 15:00;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 139,80;R$ 0,00;R$ 20,82;R$ 160,62
5730;07/05/2018 10:35;ENTREGUE;MOIP Boleto;Mobile;3;R$ 229,70;R$ 0,00;R$ 49,58;R$ 279,28
5729;06/05/2018 20:35;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 39,90;R$ 0,00;R$ 18,79;R$ 58,69
5728;06/05/2018 13:38;DESPACHADO;MOIP CC 6x;Mobile;2;R$ 159,80;R$ 0,00;R$ 25,72;R$ 185,52
5727;06/05/2018 13:10;APROVADO CRÉDITO;MOIP CC 6x;Mobile;2;R$ 159,80;R$ 0,00;R$ 55,84;R$ 215,64
5726;06/05/2018 11:35;ENTREGUE;MOIP CC 1x;Mobile;12;R$ 1.058,80;R$ 1.011,00;R$ 0,00;R$ 47,80
5725;05/05/2018 15:33;ENTREGUE;MOIP Boleto;Desktop;2;R$ 139,80;R$ 0,00;R$ 23,21;R$ 163,01
5724;05/05/2018 14:26;ENTREGUE;MOIP CC 1x;Mobile;3;R$ 239,70;R$ 0,00;R$ 38,23;R$ 277,93
5722;04/05/2018 20:56;ENTREGUE;MOIP Boleto;Mobile;1;R$ 79,90;R$ 0,00;R$ 49,58;R$ 129,48
5718;03/05/2018 14:34;ENTREGUE;MOIP CC 5x;Desktop;3;R$ 174,70;R$ 0,00;R$ 21,00;R$ 195,70
5717;03/05/2018 13:08;ENTREGUE;MOIP CC 6x;Desktop;1;R$ 79,90;R$ 0,00;R$ 18,79;R$ 98,69
5716;03/05/2018 10:35;ENTREGUE;MOIP Boleto;Desktop;2;R$ 149,80;R$ 0,00;R$ 38,23;R$ 188,03
5715;03/05/2018 09:35;ENTREGUE;MOIP CC 6x;Mobile;2;R$ 159,80;R$ 7,99;R$ 19,11;R$ 170,92
