Qnt_Dias;Mês;Volume_Vendas;Motivo;O_que_Faremos
31;Janeiro;Baixo;Festas de início de ano e período de férias de verão;Trabalharemos com os produtos já existentes na coleção, criando uma campanha de linha de produtos que já temos, como por exemplo: Linha Oceânica.
28;Fevereiro;Férias de verão / Carnaval;Férias de verão / Carnaval;Trabalharemos com os produtos já existentes na coleção, criando uma campanha de linha de produtos que já temos, como por exemplo: Linha Bait.
31;Março;Alto;Faremos liquidação pois no próximo mês lançaremos coleção nova, então antes disso teremos essa promoção para liquidar os estoques. Outro motivo do volume alto de vendas é a retomada do ano pós carnaval.;Criaremos campanhas de liquidação.
30;Abril;Muito Alto;Lançamento de Nova Coleção (inverno);Campanha grande de lançamento da nova coleção
31;Maio;Regular;"Não temos novos lançamentos, mas a coleção nova ainda estará ""fresquinha"".";"Trabalharemos com os produtos já existentes na coleção, criando uma campanha de linha de produtos que já temos, como por exemplo: Linha Pesqueiros.
"
30;Junho;Alto;"Lançaremos novos produtos para ""inflar"" a coleção existente.";Trabalharemos com os produtos já existentes na coleção, mas também com alguns que serão novidades, criando uma campanha de linha de produtos, como por exemplo: Produtos Tucunaré.
31;Julho;Alto;"Lançaremos novos produtos para ""inflar"" a coleção existente.";Trabalharemos com os produtos já existentes na coleção, mas também com alguns que serão novidades, criando uma campanha de linha de produtos, como por exemplo: Bonés de outras cores e modelos.
31;Agosto;Alto;Faremos liquidação pois no próximo mês lançaremos coleção nova, então antes disso teremos essa promoção para liquidar os estoques.;Criaremos campanhas de liquidação.
30;Setembro;Muito Alto;Lançamento de Nova Coleção (verão);Campanha grande de lançamento da nova coleção
31;Outubro;Alto;"Lançaremos novos produtos para ""inflar"" a coleção existente.";Trabalharemos com os produtos já existentes na coleção, mas também com alguns que serão novidades, criando uma campanha de linha de produtos, como por exemplo: Camisetas com frases de pescadores.
30;Novembro;Muito Alto;"A coleção nova ainda estará ""fresquinha"" e, além disso, teremos Black Friday, uma data muito esperada pelo comércio eletrônico. Fora isso, é a época de compras para presentear no Natal.";Campanha de Black Friday + Natal.
31;Dezembro;Regular;Festas de final de ano, devido ao tempo de entrega das compras feitas pelo e-commerce, dificilmente alguém irá comprar dentro de dezembro para presentear no Natal.;Teremos uma continuação da campanha de natal, no início de Dezembro, mas em seguida trabalharemos alguma linha existente, como no caso de Janeiro.
