Ranking;ID;Produto;Categorias;Faturamento;%
1;85;Boné Tucunaré Tribal;Bonés;R$11.889,99;8,08%
2;8;Sandália Tucunaré - Borracha e Impressão Silk Screen;Sandálias;R$8.868,90;6,03%
3;86;"Camiseta ""Pesco, Logo Existo""";Camisetas;R$6.873,78;4,67%
4;79;Boné Momento da Pesca;BonésFish TV;R$6.360,04;4,32%
5;54;Boné For Fisher - Tecido 100% algodão. Tela 100% poliéster.;Bonés;R$5.445,21;3,70%
6;101;Camiseta Estrelas Fish TV;Fish TV;R$5.337,33;3,63%
7;83;Boné Dourado Tribal;Bonés;R$5.305,41;3,61%
8;80;Boné Fish TV;BonésFish TV;R$4.482,39;3,05%
9;76;Camiseta Tucunaré Tribal - 100% algodão e estampa em silk screen relevo;Camisetas;R$4.271,94;2,90%
10;98;Camiseta Salto do Tucunaré - Coleção Salto dos Peixes;Camisetas;R$3.797,28;2,58%
11;78;Camiseta Dourado Tribal - 100% algodão e estampa em silk screen relevo;Camisetas;R$3.788,49;2,57%
12;3;Sandália Dourado - Borracha e Impressão Silk Screen;Sandálias;R$3.643,44;2,48%
13;74;Sandália For Fisher - Borracha e impressão em transfer;Sandálias;R$3.563,54;2,42%
14;88;Camiseta Print Pesco Logo Existo;Camisetas;R$3.551,16;2,41%
15;27;Pulseira Tucunaré Pingente - Couro Natural e Peixe em Metal;Acessórios > Pulseiras;R$3.307,71;2,25%
16;102;Camiseta Fish TV Angler;Fish TV;R$2.958,52;2,01%
17;112;Boné Momento da Pesca - Edição limitada - Autografado por Johnny Hoffmann;BonésFish TV;R$2.636,70;1,79%
18;10;Colar Hei Matau - Couro e Pingente de Réplica de Hei Matau em Polímero;Acessórios > Colares;R$2.524,94;1,72%
19;94;Camiseta Embaixador da Pesca - Coleção Peixes Reais;Camisetas;R$2.454,27;1,67%
20;72;Sandália Tucunaré Tribal - Borracha e impressão em transfer;Sandálias;R$2.357,05;1,60%
21;89;Camiseta For Fisher - 100% algodão;Camisetas;R$2.338,14;1,59%
22;99;Camiseta Salto do Robalo - Coleção Salto dos Peixes;Camisetas;R$2.039,28;1,39%
23;45;Camiseta Técnicas For Fisher - 100% algodão;Camisetas;R$2.006,13;1,36%
24;71;Sandália Dourado Tribal - Borracha e impressão em transfer;Sandálias;R$1.981,52;1,35%
25;7;Sandália Traíra - Borracha e Impressão Silk Screen;Sandálias;R$1.813,72;1,23%
26;91;DVD Documentário Tucunaré-açu;Fish TV;R$1.763,58;1,20%
27;97;Camiseta Salto do Dourado - Coleção Salto dos Peixes;Camisetas;R$1.661,31;1,13%
28;6;Sandália Tambaqui - Borracha e Impressão Silk Screen;Sandálias;R$1.637,95;1,11%
29;87;Camiseta Manifesto For Fisher;Camisetas;R$1.564,62;1,06%
30;46;Camiseta Tribalnaré For Fisher - 100% algodão;Camisetas;R$1.446,93;0,98%
31;95;Camiseta Caçador do Mangue - Coleção Peixes Reais;Camisetas;R$1.420,42;0,97%
32;15;Colar Tucunaré - Couro e Pingente de Peixe em Metal;Acessórios > Colares;R$1.360,59;0,92%
33;90;Squeeze For Fisher - 500 ml;Utilitários > Squeeze;R$1.336,65;0,91%
34;93;Camiseta Rei do Rio - Coleção Peixes Reais;Camisetas;R$1.330,52;0,90%
35;69;Caneca For Fisher - 360 ml;Utilitários > Canecas;R$1.264,77;0,86%
36;61;Pulseira Macramê Dourado Café;Acessórios > Pulseiras;R$1.232,53;0,84%
37;96;Camiseta Mestre da Emboscada - Coleção Peixes Reais;Camisetas;R$1.222,64;0,83%
38;77;Camiseta Traíra Tribal - 100% algodão e estampa em silk screen relevo;Camisetas;R$1.204,23;0,82%
39;21;Quadro Tucunaré (38x30) - P.S. e Policromia Alta Qualidade;Utilitários > Quadros;R$1.139,37;0,77%
40;75;Camiseta Robalo Tribal - 100% algodão e estampa em silk screen relevo;Camisetas;R$1.125,12;0,76%
41;103;Camiseta Infantil Galera Fish TV;Fish TV;R$1.043,13;0,71%
42;28;Pulseira Dourado Emborrachada - Material emborrachado;Acessórios > Pulseiras;R$1.013,61;0,69%
43;22;Pulseira Dourado Pingente - Couro Natural e Peixe em Metal;Acessórios > Pulseiras;R$993,51;0,68%
44;5;Sandália Robalo - Borracha e Impressão Silk Screen;Sandálias;R$950,81;0,65%
45;68;Pulseira Macramê Tucunaré Preta e Marrom;Acessórios > Pulseiras;R$943,11;0,64%
46;33;Pulseira Tucunaré Emborrachada - Material emborrachado;Acessórios > Pulseiras;R$885,04;0,60%
47;64;Pulseira Macramê Tucunaré Café;Acessórios > Pulseiras;R$873,25;0,59%
48;25;Pulseira Tambaqui Pingente - Couro Natural e Peixe em Metal;Acessórios > Pulseiras;R$782,04;0,53%
49;60;Pulseira Macramê Tucunaré Preta;Acessórios > Pulseiras;R$723,55;0,49%
50;42;Camiseta Baby Look #pescologoexisto - 100% algodão;Camisetas;R$699,00;0,48%
51;58;Pulseira Macrame Robalo Preta;Acessórios > Pulseiras;R$688,62;0,47%
52;62;Pulseira Macramê Robalo Café;Acessórios > Pulseiras;R$668,66;0,45%
53;43;Camiseta Baby Look Tribalnaré For Fisher - 100% algodão;Camisetas;R$629,10;0,43%
54;70;Sandália Traíra Tribal - Borracha e impressão em transfer;Sandálias;R$583,26;0,40%
55;9;Colar Dourado - Couro e Pingente de Peixe em Metal;Acessórios > Colares;R$574,56;0,39%
56;57;Pulseira Macramê Dourado Preta;Acessórios > Pulseiras;R$573,85;0,39%
57;100;Camiseta Salto da Cachorra - Coleção Salto dos Peixes;Camisetas;R$527,40;0,36%
58;32;Pulseira Traíra Emborrachada - Material emborrachado;Acessórios > Pulseiras;R$502,32;0,34%
59;73;Sandália Robalo Tribal - Borracha e impressão em transfer;Sandálias;R$495,38;0,34%
60;20;Quadro Traíra (38x30cm) - P.S.e Policromia Alta Qualidade;Utilitários > Quadros;R$475,32;0,32%
61;24;Pulseira Robalo Pingente - Couro Natural e Peixe em Metal;Acessórios > Pulseiras;R$466,83;0,32%
62;26;Pulseira Traíra Pingente - Couro Natural e Peixe em Metal;Acessórios > Pulseiras;R$434,91;0,30%
63;14;Colar Traíra - Couro e Pingente de Peixe em Metal;;R$426,93;0,29%
64;55;Cinto Dourado - 100% couro;Acessórios > Cintos;R$417,62;0,28%
65;56;Cinto Tucunaré - 100% couro;Acessórios > Cintos;R$406,63;0,28%
66;59;Pulseira Macrame Traíra Preta;Acessórios > Pulseiras;R$399,20;0,27%
67;67;Pulseira Macramê Traíra Preta e Marrom;Acessórios > Pulseiras;R$399,20;0,27%
68;30;Pulseira Robalo Emborrachada - Material emborrachado;Acessórios > Pulseiras;R$388,70;0,26%
69;31;Pulseira Tambaqui Emborrachada - Material emborrachado;Acessórios > Pulseiras;R$382,72;0,26%
70;39;Pulseira Tucunaré em Recorte - Couro Natural e Peixe em Recorte;Acessórios > Pulseiras;R$370,76;0,25%
71;44;Camiseta #pescologoexisto - 100% algodão;Camisetas;R$349,50;0,24%
72;18;Quadro Robalo (38x30cm) - P.S. e Policromia Alta Qualidade;Utilitários > Quadros;R$342,51;0,23%
73;16;Quadro Dourado (38x30cm) - P.S. e Policromia Alta Qualidade;Utilitários > Quadros;R$342,51;0,23%
74;12;Colar Robalo - Couro e Pingente de Peixe em Metal;Acessórios > Colares;R$311,22;0,21%
75;37;Pulseira Tambaqui em Recorte - Couro Natural e Peixe em Recorte;Acessórios > Pulseiras;R$310,96;0,21%
76;36;Pulseira Robalo em Recorte - Couro Natural e Peixe em Recorte;Acessórios > Pulseiras;R$293,02;0,20%
77;34;Pulseira Dourado em Recorte - Couro Natural e Peixe em Recorte;Acessórios > Pulseiras;R$290,03;0,20%
78;13;Colar Tambaqui - Couro e Pingente de Peixe em Metal;Acessórios > Colares;R$275,31;0,19%
79;66;Pulseira Macramê Robalo Preta e Marrom;Acessórios > Pulseiras;R$244,51;0,17%
80;63;Pulseira Macramê Traíra Café;Acessórios > Pulseiras;R$239,52;0,16%
81;29;Pulseira Marlin Emborrachada - Material emborrachado;Acessórios > Pulseiras;R$209,30;0,14%
82;38;Pulseira Traíra em Recorte - Couro Natural e Peixe em Recorte;Acessórios > Pulseiras;R$203,32;0,14%
83;19;Quadro Tambaqui (38x30cm) - P.S. e Policromia Alta Qualidade;Utilitários > Quadros;R$195,72;0,13%
84;23;Pulseira Marlin Pingente - Couro Natural e Peixe em Metal;Acessórios > Pulseiras;R$183,54;0,12%
85;17;Quadro Marlin (38x30cm) - P.S. e Policromia Alta Qualidade;Utilitários > Quadros;R$174,75;0,12%
86;11;Colar Marlin - Couro e Pingente de Peixe em Metal;Acessórios > Colares;R$79,80;0,05%
87;35;Pulseira Marlin em Recorte - Couro Natural e Peixe em Recorte;Acessórios > Pulseiras;R$59,80;0,04%
