Qnt Dias;Mês;Meta Definida;Total Alcançado;Margem Acumulativa;Margem Faltante;
31;Janeiro;14.223,88;5.643,93;0,00;8.579,95;
28;Fevereiro;14.223,88;5.616,61;0,00;8.607,27;
31;Março;14.223,88;8.672,19;0,00;5.551,69;
30;Abril;25.580,10;27.737,34;2.157,24;0,00;
31;Maio;23.422,86;9.186,89;0,00;14.235,97;
30;Junho;24.745,15;0,00;0,00;24.745,15;
31;Julho;24.745,15;0,00;0,00;24.745,15;
31;Agosto;24.745,15;0,00;0,00;24.745,15;
30;Setembro;29.500,00;0,00;0,00;29.500,00;
31;Outubro;24.745,15;0,00;0,00;24.745,15;
30;Novembro;30.000,00;0,00;0,00;30.000,00;
31;Dezembro;20.580,10;0,00;0,00;20.580,10;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
