Página;Visualizações de página;Visualizações de páginas únicas;Tempo médio na página;Entradas;Taxa de rejeição;Porcentagem de saída;Valor da página
/;14001;9115;47,48;8790;34,80%;33,33%;2,30
/camisetas-000001.html;8156;4183;38,54;547;37,00%;12,16%;4,98
/bones-000007.html;5854;3000;42,13;502;39,32%;12,95%;5,32
/lancamentos-000014.html;5508;3362;41,40;214;47,20%;11,78%;5,38
/camisetas-000001.html?page=2;3468;1977;36,81;75;58,67%;11,33%;7,30
/lancamentos-000014.html?page=2;3277;1650;33,78;93;34,41%;6,74%;6,92
/acessorios-000012.html;2356;1597;34,94;38;50,00%;9,30%;4,39
/fish-tv-000013.html;2219;1433;50,07;778;30,59%;28,57%;2,85
/sandalias-000003.html;1955;1386;33,95;71;60,56%;12,02%;7,19
/lancamentos-000014.html?page=3;1759;1321;22,27;25;72,00%;13,02%;6,55
;88796;59029;39,18;15129;36,70%;17,04%;9,12
