Origem;Usuários;Novos usuários;Sessões;Taxa de rejeição;Páginas / sessão;Duração média da sessão;Taxa de conversão do comércio eletrônico;Transações;Receita
instagram.com;1164;1132;1242;49,19%;3,53;76,24;0,24%;3;595,36
fishtv.com;988;851;1164;35,48%;5,79;166,63;0,95%;11;1346,68
m.facebook.com;741;726;803;31,51%;3,40;74,38;0,50%;4;1156,88
l.facebook.com;172;164;179;53,07%;3,01;76,04;1,68%;3;465,01
l.instagram.com;150;139;165;12,73%;8,54;216,25;1,21%;2;531,26
facebook.com;83;75;83;34,94%;4,20;155,65;0,00%;0;0,00
googleweblight.com;52;44;64;28,13%;7,17;209,42;0,00%;0;0,00
dooca.com.br;31;31;32;62,50%;1,72;68,38;0,00%;0;0,00
lm.facebook.com;23;17;23;13,04%;6,17;177,52;0,00%;0;0,00
outlook.live.com;17;6;46;8,70%;6,13;246,98;8,70%;4;858,43
;3475;3228;3867;38,27%;4,53;117,76;0,75%;29;5290,09
