Ranking;ID;Produto;Categorias;Faturamento;%
1;127;Camiseta Tucunaré Aquarela - Preta - Nova coleção;Lançamentos;R$ 2.397,00;7,65%
;;;Camisetas;;
2;125;Camiseta Tucunaré Aquarela - Branca - Nova coleção;Lançamentos;R$ 1.677,90;5,36%
;;;Camisetas;;
3;113;Camiseta Anzol For Fisher - Nova Coleção;Lançamentos;R$ 1.358,30;4,34%
;;;Camisetas;;
4;124;Camiseta Pescar é o Meu Esporte - Nova coleção;Lançamentos;R$ 1.198,50;3,83%
;;;Camisetas;;
5;128;Camiseta Pescar e Soltar - Nova coleção;Lançamentos;R$ 1.198,50;3,83%
;;;Camisetas;;
6;85;Boné Tucunaré Tribal;Bonés;R$ 1.188,30;3,79%
7;79;Boné Momento da Pesca;Bonés;R$ 1.038,70;3,32%
;;;Fish TV;;
8;132;Camiseta Tambaqui Aquarela - Branca - Nova coleção;Lançamentos;R$ 958,80;3,06%
;;;Camisetas;;
9;145;Boné Pesco Logo Existo - Nova Coleção;Lançamentos;R$ 908,70;2,90%
;;;Bonés;;
10;147;Boné Isca Stick - Nova Coleção;Lançamentos;R$ 908,70;2,90%
;;;Bonés;;
11;114;Camiseta Boia Cevadeira - Nova coleção;Lançamentos;R$ 799,00;2,55%
;;;Camisetas;;
12;136;Boné Escama Dourado - Nova Coleção;Lançamentos;R$ 768,90;2,46%
;;;Bonés;;
13;139;Boné Escama Tambaqui - Nova Coleção;Lançamentos;R$ 699,00;2,23%
;;;Bonés;;
14;78;Camiseta Dourado Tribal - 100% algodão e estampa em silk screen relevo;Camisetas;R$ 615,30;1,96%
15;115;Camiseta Cardume Fish TV - Nova coleção;Lançamentos;R$ 559,30;1,79%
;;;Camisetas;;
;;;Fish TV;;
16;129;Camiseta Robalo Maori - Nova coleção;Lançamentos;R$ 559,30;1,79%
;;;Camisetas;;
17;83;Boné Dourado Tribal;Bonés;R$ 419,40;1,34%
18;101;Camiseta Estrelas Fish TV;Fish TV;R$ 399,80;1,28%
19;121;Camiseta Pampo Maori - Azul - Nova coleção;Lançamentos;R$ 399,50;1,28%
;;;Camisetas;;
20;126;Camiseta Baby Look Tucunaré Aquarela - Branca - Nova coleção;Lançamentos;R$ 399,50;1,28%
;;;Camisetas;;
21;74;Sandália For Fisher - Borracha e impressão em transfer;Sandálias;R$ 399,50;1,28%
22;155;Caneca Tucunaré Aquarela;Lançamentos;R$ 399,00;1,27%
;;;Utilitários > Canecas;;
23;94;Camiseta Embaixador da Pesca - Coleção Peixes Reais;Camisetas;R$ 359,60;1,15%
24;93;Camiseta Rei do Rio - Coleção Peixes Reais;Camisetas;R$ 359,60;1,15%
25;76;Camiseta Tucunaré Tribal - 100% algodão e estampa em silk screen relevo;Camisetas;R$ 351,60;1,12%
