Origem/mídia;Usuários;Novos usuários;Sessões;Taxa de rejeição;Páginas / sessão;Duração média da sessão;Taxa de conversão do comércio eletrônico;Transações;Receita
google / organic;6215;5528;8730;25,83%;7,38;257,27;2,08%;182;30075,51
m.facebook.com / referral;3750;3668;4422;61,49%;3,07;65,93;0,32%;14;2264,39
(direct) / (none);3234;3105;4098;46,53%;4,64;159,25;0,78%;32;4671,96
google / cpc;2629;2499;3348;78,70%;2,02;50,66;0,18%;6;1345,92
fishtv.com / referral;1620;1437;1941;39,77%;5,31;168,13;0,72%;14;2038,12
instagram.com / referral;1451;1392;1575;58,60%;3,43;69,09;0,51%;8;855,37
RD Station / email;359;230;474;47,47%;3,65;133,39;2,74%;13;2402,20
l.facebook.com / referral;255;250;272;75,00%;2,33;51,07;0,74%;2;153,41
facebook.com / referral;243;219;294;31,63%;4,56;197,39;0,00%;0;0,00
l.instagram.com / referral;193;176;233;26,18%;6,96;194,03;1,72%;4;655,39
;20428;18863;26015;46,31%;4,92;157,04;1,10%;287;46536,06
