UF;Pedidos;Produtos Vendidos;Ticket Médio;Valor Total;Valor de Frete
AL;1;1;R$ 69,90;R$ 69,90;R$ 29,22
AM;2;7;R$ 192,15;R$ 384,30;R$ 69,54
BA;5;20;R$ 238,20;R$ 1.191,00;R$ 204,98
CE;1;1;R$ 69,90;R$ 69,90;R$ 34,77
DF;9;18;R$ 132,02;R$ 1.188,20;R$ 220,23
ES;5;14;R$ 197,72;R$ 988,60;R$ 164,94
GO;12;36;R$ 212,37;R$ 2.548,40;R$ 400,24
MA;1;1;R$ 79,90;R$ 79,90;R$ 42,75
MG;37;94;R$ 188,64;R$ 6.979,60;R$ 1.080,75
MS;11;23;R$ 154,88;R$ 1.703,70;R$ 333,20
MT;7;17;R$ 146,19;R$ 1.023,30;R$ 244,60
PA;1;4;R$ 299,60;R$ 299,60;R$ 42,75
PB;1;3;R$ 209,70;R$ 209,70;R$ 42,75
PE;1;1;R$ 69,90;R$ 69,90;R$ 34,77
PR;53;134;R$ 173,48;R$ 9.194,60;R$ 1.149,35
RJ;21;44;R$ 146,84;R$ 3.083,60;R$ 640,61
RO;2;15;R$ 414,25;R$ 828,50;R$ 111,46
RS;50;81;R$ 102,32;R$ 5.115,90;R$ 428,31
SC;21;43;R$ 146,41;R$ 3.074,70;R$ 536,09
SP;160;375;R$ 162,50;R$ 25.999,50;R$ 3.386,51
TO;1;2;R$ 149,80;R$ 149,80;R$ 29,22
