Página;Visualizações de página;Visualizações de páginas únicas;Tempo médio na página;Entradas;Taxa de rejeição;Porcentagem de saída;Valor da página
/;11741;8175;56,70;8000;47,98%;43,87%;1,37
/camisetas-000001.html;5214;2625;36,74;304;43,42%;11,97%;4,40
/bones-000007.html;3767;1951;44,80;318;38,49%;13,54%;4,52
/lancamentos-000014.html;2706;1760;39,43;114;51,75%;13,45%;4,17
/camisetas-000001.html?page=2;1964;1097;39,84;44;52,27%;11,35%;7,43
/fish-tv-000013.html;1509;1000;47,43;538;36,06%;32,27%;1,91
/lancamentos-000014.html?page=2;1306;705;32,78;26;42,31%;6,36%;5,06
/acessorios-000012.html;1284;860;42,07;36;52,78%;11,45%;3,51
/sandalias-000003.html;1240;883;32,96;43;55,81%;13,63%;5,55
/carrinho.html;877;468;62,28;64;4,84%;18,13%;40,10
;55059;37459;41,64;11425;48,42%;20,75%;6,96
