Origem/mídia;Usuários;Novos usuários;Sessões;Taxa de rejeição;Páginas / sessão;Duração média da sessão;Taxa de conversão do comércio eletrônico;Transações;Receita
google / organic;2844;2420;3791;26,59%;7,30;265,77;2,00%;76;12700,75
google / cpc;2505;2380;3081;78,48%;2,05;49,86;0,19%;6;1345,92
(direct) / (none);1297;1207;1707;43,53%;4,86;172,41;1,11%;19;3063,94
fishtv.com / referral;894;802;1045;39,81%;5,27;164,13;0,38%;4;823,27
m.facebook.com / referral;665;638;724;59,94%;3,46;71,33;0,00%;0;0,00
instagram.com / referral;491;454;519;62,04%;3,44;70,82;0,58%;3;311,68
l.instagram.com / referral;90;81;101;17,82%;7,50;213,34;0,00%;0;0,00
facebook.com / referral;78;74;85;29,41%;4,82;184,65;0,00%;0;0,00
RD Station / email;32;7;59;22,03%;4,19;154,78;1,69%;1;129,48
googleweblight.com / referral;29;25;40;30,00%;5,18;229,30;0,00%;0;0,00
;9150;8253;11428;48,42%;4,82;158,99;1,01%;115;19573,79
