ID;ID_COMBINACAO;REFERENCIA;TITULO;ATRIBUTO;ESTOQUE;RESERVA;ESTOQUE_TOTAL;ATIVO
3;5;10050;Sandália Dourado;Único / 41/42;0;1;1;1
3;6;10050;Sandália Dourado;43/44 / Único;17;0;17;1
3;7;10050;Sandália Dourado;39/40 / Único;20;0;20;1
4;8;10051;Sandália Marlin;Único / 41/42;0;0;0;0
4;9;10051;Sandália Marlin;43/44 / Único;0;0;0;0
4;10;10051;Sandália Marlin;39/40 / Único;0;1;1;0
5;11;10052;Sandália Robalo;Único / 41/42;29;0;29;1
5;12;10052;Sandália Robalo;43/44 / Único;16;0;16;1
5;13;10052;Sandália Robalo;Único / 39/40;13;0;13;1
6;14;10053;Sandália Tambaqui;Único / 41/42;11;0;11;1
6;15;10053;Sandália Tambaqui;43/44 / Único;16;0;16;1
6;16;10053;Sandália Tambaqui;Único / 39/40;19;0;19;1
7;17;10054;Sandália Traíra;Único / 41/42;13;0;13;1
7;18;10054;Sandália Traíra;43/44 / Único;15;0;15;1
7;19;10054;Sandália Traíra;39/40 / Único;13;0;13;1
8;20;10055;Sandália Tucunaré;Único / 41/42;0;0;0;1
8;21;10055;Sandália Tucunaré;43/44 / Único;0;0;0;1
8;22;10055;Sandália Tucunaré;Único / 39/40;0;1;1;1
9;23;10017;Colar Dourado;Único / Único;8;0;8;1
10;24;10018;Colar Hei Matau;Único / Único;2;0;2;1
11;25;10019;Colar Marlin;Único / Único;22;0;22;1
12;26;10020;Colar Robalo;Único / Único;13;0;13;1
13;27;10021;Colar Tambaqui;Único / Único;7;0;7;1
14;28;10022;Colar Traíra;Único / Único;6;0;6;1
15;29;10023;Colar Tucunaré;Único / Único;14;0;14;1
16;30;10024;Quadro Dourado (38x30cm);Único / Único;4;0;4;1
17;31;10025;Quadro Marlin (38x30cm);Único / Único;25;0;25;1
18;32;10026;Quadro Robalo (38x30cm);Único / Único;18;0;18;1
19;33;10027;Quadro Tambaqui (38x30cm);Único / Único;16;0;16;1
20;34;10028;Quadro Traíra (38x30cm);Único / Único;15;0;15;1
21;35;10029;Quadro Tucunaré (38x30);Único / Único;0;1;1;1
22;36;10030;Pulseira Dourado Pingente;Único / Único;17;1;18;1
23;37;10031;Pulseira Marlin Pingente;Único / Único;14;0;14;1
