ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
5848;04/06/2018 23:25;APROVADO CRÉDITO;MOIP CC 2x;Desktop;1;R$ 87,90;R$ 0,00;R$ 23,21;R$ 111,11
5844;04/06/2018 14:48;APROVADO CRÉDITO;MOIP CC 2x;Desktop;4;R$ 269,60;R$ 0,00;R$ 20,27;R$ 289,87
5843;04/06/2018 10:45;APROVADO CRÉDITO;MOIP CC 6x;Mobile;1;R$ 39,90;R$ 0,00;R$ 23,21;R$ 63,11
5842;04/06/2018 08:00;APROVADO CRÉDITO;MOIP Boleto;Mobile;2;R$ 99,80;R$ 0,00;R$ 64,75;R$ 164,55
5841;04/06/2018 06:59;DESPACHADO;MOIP CC 2x;Desktop;1;R$ 79,90;R$ 0,00;R$ 23,21;R$ 103,11
5840;03/06/2018 21:51;DESPACHADO;MOIP CC 1x;Desktop;2;R$ 149,80;R$ 0,00;R$ 21,00;R$ 170,80
5839;03/06/2018 18:50;DESPACHADO;MOIP CC 6x;Mobile;4;R$ 287,60;R$ 0,00;R$ 23,21;R$ 310,81
5838;02/06/2018 15:14;APROVADO CRÉDITO;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 18,79;R$ 88,69
5836;02/06/2018 11:48;DESPACHADO;MOIP CC 3x;Mobile;1;R$ 69,90;R$ 0,00;R$ 49,58;R$ 119,48
5835;02/06/2018 10:18;DESPACHADO;MOIP CC 3x;Mobile;3;R$ 229,70;R$ 0,00;R$ 64,75;R$ 294,45
5834;01/06/2018 15:46;DESPACHADO;MOIP Boleto;Desktop;2;R$ 149,80;R$ 0,00;R$ 21,00;R$ 170,80
5833;31/05/2018 13:22;DESPACHADO;MOIP CC 3x;Desktop;2;R$ 149,80;R$ 0,00;R$ 26,99;R$ 176,79
5832;31/05/2018 11:18;DESPACHADO;MOIP CC 6x;Mobile;1;R$ 69,90;R$ 0,00;R$ 23,21;R$ 93,11
5831;30/05/2018 16:24;DESPACHADO;MOIP CC 4x;Mobile;1;R$ 69,90;R$ 0,00;R$ 10,46;R$ 80,36
5830;30/05/2018 11:23;DESPACHADO;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 23,21;R$ 93,11
5829;30/05/2018 00:03;DESPACHADO;MOIP Boleto;Mobile;1;R$ 39,90;R$ 0,00;R$ 23,21;R$ 63,11
5827;29/05/2018 17:19;APROVADO CRÉDITO;MOIP CC 3x;Desktop;4;R$ 309,60;R$ 0,00;R$ 55,84;R$ 365,44
5826;29/05/2018 14:55;DESPACHADO;MOIP Boleto;Mobile;2;R$ 139,80;R$ 0,00;R$ 16,33;R$ 156,13
5825;28/05/2018 23:08;DESPACHADO;MOIP CC 6x;Mobile;3;R$ 189,70;R$ 0,00;R$ 30,08;R$ 219,78
5824;28/05/2018 15:38;APROVADO CRÉDITO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 79,90;R$ 0,00;R$ 0,00
5823;28/05/2018 12:07;APROVADO CRÉDITO;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 0,00;R$ 69,90
5822;28/05/2018 11:02;APROVADO CRÉDITO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 79,90;R$ 0,00;R$ 0,00
5821;28/05/2018 08:57;DESPACHADO;MOIP CC 1x;Desktop;1;R$ 39,90;R$ 0,00;R$ 21,00;R$ 60,90
5820;27/05/2018 22:00;DESPACHADO;MOIP CC 2x;Mobile;1;R$ 79,90;R$ 0,00;R$ 23,21;R$ 103,11
5818;27/05/2018 14:16;DESPACHADO;MOIP CC 6x;Desktop;2;R$ 149,80;R$ 0,00;R$ 38,23;R$ 188,03
5817;27/05/2018 10:03;DESPACHADO;MOIP CC 3x;Mobile;5;R$ 319,50;R$ 0,00;R$ 24,47;R$ 343,97
5814;26/05/2018 19:00;DESPACHADO;MOIP CC 4x;Mobile;1;R$ 79,90;R$ 0,00;R$ 16,92;R$ 96,82
5813;26/05/2018 15:34;DESPACHADO;MOIP CC 3x;Mobile;1;R$ 79,90;R$ 0,00;R$ 18,79;R$ 98,69
5812;25/05/2018 20:17;APROVADO CRÉDITO;MOIP Boleto;Mobile;1;R$ 79,90;R$ 0,00;R$ 23,21;R$ 103,11
5811;25/05/2018 18:44;DESPACHADO;MOIP Boleto;Mobile;12;R$ 1.002,80;R$ 1.002,80;R$ 0,00;R$ 0,00
5809;23/05/2018 23:01;DESPACHADO;MOIP CC 6x;Desktop;2;R$ 149,80;R$ 0,00;R$ 20,82;R$ 170,62
5808;23/05/2018 15:21;DESPACHADO;MOIP CC 2x;Mobile;1;R$ 69,90;R$ 0,00;R$ 18,79;R$ 88,69
5807;23/05/2018 14:31;DESPACHADO;MOIP CC 2x;Desktop;1;R$ 69,90;R$ 0,00;R$ 21,00;R$ 90,90
5804;21/05/2018 22:10;DESPACHADO;MOIP CC 1x;Mobile;4;R$ 309,60;R$ 0,00;R$ 24,47;R$ 334,07
5803;21/05/2018 18:37;ENTREGUE;MOIP CC 1x;Desktop;18;R$ 1.018,20;R$ 1.011,00;R$ 0,00;R$ 7,20
5802;21/05/2018 14:56;ENTREGUE;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 18,79;R$ 88,69
5801;21/05/2018 14:18;DESPACHADO;MOIP CC 6x;Mobile;2;R$ 167,80;R$ 0,00;R$ 18,79;R$ 186,59
5800;21/05/2018 13:51;ENTREGUE;MOIP CC 6x;Mobile;1;R$ 79,90;R$ 0,00;R$ 16,33;R$ 96,23
5799;20/05/2018 22:47;DESPACHADO;MOIP CC 2x;Mobile;2;R$ 79,80;R$ 0,00;R$ 20,82;R$ 100,62
5798;20/05/2018 15:10;DESPACHADO;MOIP CC 6x;Desktop;3;R$ 149,70;R$ 0,00;R$ 10,46;R$ 160,16
5797;20/05/2018 07:25;DESPACHADO;MOIP Boleto;Mobile;5;R$ 267,50;R$ 0,00;R$ 49,58;R$ 317,08
5796;19/05/2018 11:43;ENTREGUE;MOIP CC 6x;Mobile;3;R$ 209,70;R$ 0,00;R$ 21,00;R$ 230,70
5795;19/05/2018 10:43;DESPACHADO;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 23,21;R$ 93,11
5794;18/05/2018 20:42;ENTREGUE;MOIP CC 6x;Mobile;4;R$ 309,60;R$ 0,00;R$ 26,99;R$ 336,59
5792;18/05/2018 14:01;APROVADO CRÉDITO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 79,90;R$ 0,00;R$ 0,00
5791;18/05/2018 09:41;ENTREGUE;MOIP Boleto;Desktop;3;R$ 229,70;R$ 0,00;R$ 38,23;R$ 267,93
5789;17/05/2018 22:02;ENTREGUE;MOIP CC 4x;Mobile;3;R$ 239,70;R$ 0,00;R$ 47,38;R$ 287,08
5788;17/05/2018 20:27;DESPACHADO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 25,72;R$ 105,62
5787;17/05/2018 19:52;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 159,80;R$ 0,00;R$ 24,47;R$ 184,27
