UF;Pedidos;Produtos Vendidos;Ticket Médio;Valor Total;Valor de Frete
AL;1;1;R$ 69,90;R$ 69,90;R$ 29,22
AM;1;4;R$ 204,60;R$ 204,60;R$ 34,77
BA;1;2;R$ 139,80;R$ 139,80;R$ 35,93
CE;1;1;R$ 69,90;R$ 69,90;R$ 34,77
DF;1;1;R$ 79,90;R$ 79,90;R$ 24,47
ES;1;3;R$ 199,70;R$ 199,70;R$ 30,08
GO;2;2;R$ 59,90;R$ 119,80;R$ 48,94
MG;10;25;R$ 188,35;R$ 1.883,50;R$ 361,20
MS;1;1;R$ 87,90;R$ 87,90;R$ 20,82
MT;2;3;R$ 64,85;R$ 129,70;R$ 60,16
PA;1;4;R$ 299,60;R$ 299,60;R$ 42,75
PB;1;3;R$ 209,70;R$ 209,70;R$ 42,75
PR;16;40;R$ 165,38;R$ 2.646,00;R$ 329,13
RJ;2;4;R$ 137,30;R$ 274,60;R$ 73,10
RS;16;28;R$ 112,95;R$ 1.807,20;R$ 210,64
SC;5;12;R$ 159,76;R$ 798,80;R$ 144,30
SP;48;84;R$ 120,33;R$ 5.775,60;R$ 634,31
