Página;Visualizações de página;Visualizações de páginas únicas;Tempo médio na página;Entradas;Taxa de rejeição;Porcentagem de saída;Valor da página
/;24072;16367;52,23;15897;43,70%;40,86%;1,75
/bones-000007.html;13612;7427;40,81;3737;56,21%;26,37%;3,11
/camisetas-000001.html;11899;6123;35,73;724;41,57%;12,14%;4,37
/lancamentos-000014.html;5477;3627;40,45;250;46,00%;13,84%;4,53
/camisetas-000001.html?page=2;4565;2553;34,68;98;57,73%;10,87%;7,19
/acessorios-000012.html;3181;2149;39,00;107;53,27%;11,22%;3,43
/fish-tv-000013.html;3076;2028;50,66;1103;32,82%;30,07%;2,31
/sandalias-000003.html;2777;1946;34,03;87;55,17%;12,50%;5,39
/lancamentos-000014.html?page=2;2542;1445;31,37;53;52,83%;7,44%;5,24
/carrinho.html;2093;1085;58,06;139;3,03%;15,10%;41,43
;127987;86451;40,05;26010;46,31%;20,32%;7,29
