ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
6023;08/07/2018 18:32;APROVADO CRÉDITO;MOIP Boleto;Desktop;4;R$ 179,60;R$ 0,00;R$ 25,72;R$ 205,32
6022;08/07/2018 09:52;DESPACHADO;MOIP CC 4x;Mobile;4;R$ 307,60;R$ 0,00;R$ 64,75;R$ 372,35
6021;07/07/2018 18:47;APROVADO CRÉDITO;MOIP Boleto;Mobile;2;R$ 159,80;R$ 0,00;R$ 47,38;R$ 207,18
6020;06/07/2018 21:39;DESPACHADO;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 19,11;R$ 89,01
6019;06/07/2018 12:22;DESPACHADO;MOIP CC 1x;Desktop;1;R$ 79,90;R$ 0,00;R$ 16,92;R$ 96,82
6018;06/07/2018 12:09;APROVADO CRÉDITO;MOIP CC 6x;Mobile;2;R$ 119,80;R$ 0,00;R$ 18,79;R$ 138,59
6014;06/07/2018 08:49;APROVADO CRÉDITO;MOIP Boleto;Desktop;1;R$ 39,90;R$ 0,00;R$ 24,47;R$ 64,37
6013;06/07/2018 08:13;DESPACHADO;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 21,00;R$ 90,90
6012;05/07/2018 22:48;ENTREGUE;MOIP CC 5x;Mobile;5;R$ 359,50;R$ 0,00;R$ 67,03;R$ 426,53
6009;05/07/2018 16:57;ENTREGUE;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 13,15;R$ 83,05
6007;05/07/2018 15:34;APROVADO CRÉDITO;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 18,79;R$ 88,69
6005;05/07/2018 11:39;DESPACHADO;MOIP CC 2x;Desktop;2;R$ 89,80;R$ 0,00;R$ 30,08;R$ 119,88
6003;04/07/2018 23:21;ENTREGUE;MOIP CC 5x;Desktop;3;R$ 239,70;R$ 0,00;R$ 24,47;R$ 264,17
6002;04/07/2018 20:47;ENTREGUE;MOIP CC 4x;Mobile;2;R$ 159,80;R$ 0,00;R$ 21,00;R$ 180,80
6001;04/07/2018 19:40;DESPACHADO;MOIP CC 3x;Mobile;1;R$ 87,90;R$ 0,00;R$ 20,82;R$ 108,72
6000;04/07/2018 15:46;ENTREGUE;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 18,79;R$ 88,69
5999;04/07/2018 15:28;DESPACHADO;MOIP Boleto;Desktop;1;R$ 39,90;R$ 0,00;R$ 30,08;R$ 69,98
5997;04/07/2018 12:48;DESPACHADO;MOIP Boleto;Desktop;2;R$ 109,80;R$ 0,00;R$ 38,23;R$ 148,03
5996;04/07/2018 11:40;ENTREGUE;MOIP CC 3x;Desktop;1;R$ 69,90;R$ 0,00;R$ 16,92;R$ 86,82
5995;04/07/2018 08:36;ENTREGUE;MOIP Boleto;Desktop;4;R$ 249,60;R$ 0,00;R$ 21,00;R$ 270,60
5994;04/07/2018 07:57;ENTREGUE;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 23,21;R$ 93,11
5993;03/07/2018 19:46;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 69,90;R$ 0,00;R$ 30,08;R$ 99,98
5992;03/07/2018 12:20;DESPACHADO;MOIP Boleto;Desktop;2;R$ 149,80;R$ 0,00;R$ 16,92;R$ 166,72
5991;03/07/2018 06:38;DESPACHADO;MOIP Boleto;Mobile;2;R$ 69,80;R$ 0,00;R$ 23,21;R$ 93,01
5990;02/07/2018 15:25;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 149,80;R$ 0,00;R$ 16,92;R$ 166,72
5988;30/06/2018 15:55;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 149,80;R$ 0,00;R$ 21,00;R$ 170,80
5987;30/06/2018 10:39;DESPACHADO;MOIP Boleto;Mobile;2;R$ 139,80;R$ 0,00;R$ 35,93;R$ 175,73
5986;30/06/2018 09:13;ENTREGUE;MOIP CC 6x;Desktop;2;R$ 114,80;R$ 0,00;R$ 25,72;R$ 140,52
5985;30/06/2018 08:46;ENTREGUE;MOIP Boleto;Mobile;3;R$ 219,70;R$ 0,00;R$ 21,00;R$ 240,70
5984;29/06/2018 22:41;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 69,90;R$ 0,00;R$ 18,79;R$ 88,69
5983;29/06/2018 21:24;ENTREGUE;MOIP CC 1x;Mobile;2;R$ 109,80;R$ 0,00;R$ 21,00;R$ 130,80
5979;29/06/2018 14:23;ENTREGUE;MOIP CC 3x;Mobile;1;R$ 39,90;R$ 0,00;R$ 21,00;R$ 60,90
5978;29/06/2018 11:18;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 69,90;R$ 0,00;R$ 21,00;R$ 90,90
5977;29/06/2018 10:40;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 157,80;R$ 0,00;R$ 30,08;R$ 187,88
5976;29/06/2018 10:23;ENTREGUE;MOIP Boleto;Mobile;3;R$ 229,70;R$ 0,00;R$ 23,21;R$ 252,91
5975;29/06/2018 09:13;ENTREGUE;MOIP CC 4x;Mobile;3;R$ 139,70;R$ 0,00;R$ 18,79;R$ 158,49
5974;29/06/2018 07:51;ENTREGUE;MOIP CC 3x;Desktop;3;R$ 229,70;R$ 0,00;R$ 23,21;R$ 252,91
5973;28/06/2018 22:17;ENTREGUE;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 18,79;R$ 88,69
5971;28/06/2018 20:42;ENTREGUE;MOIP CC 2x;Mobile;2;R$ 159,80;R$ 0,00;R$ 18,79;R$ 178,59
5968;28/06/2018 20:24;ENTREGUE;MOIP CC 4x;Mobile;2;R$ 159,80;R$ 0,00;R$ 47,38;R$ 207,18
5964;28/06/2018 19:00;ENTREGUE;MOIP CC 2x;Mobile;3;R$ 239,70;R$ 11,99;R$ 18,79;R$ 246,51
5963;28/06/2018 18:11;ENTREGUE;MOIP CC 1x;Mobile;1;R$ 79,90;R$ 0,00;R$ 24,47;R$ 104,37
5962;28/06/2018 17:45;DESPACHADO;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 23,21;R$ 93,11
5961;27/06/2018 20:37;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 149,80;R$ 0,00;R$ 21,00;R$ 170,80
5960;27/06/2018 02:17;DESPACHADO;MOIP CC 2x;Desktop;1;R$ 69,90;R$ 0,00;R$ 10,46;R$ 80,36
5959;26/06/2018 19:55;ENTREGUE;MOIP Boleto;Desktop;2;R$ 159,80;R$ 0,00;R$ 30,08;R$ 189,88
5958;26/06/2018 18:48;ENTREGUE;MOIP CC 6x;Mobile;2;R$ 139,80;R$ 0,00;R$ 16,33;R$ 156,13
5957;26/06/2018 10:53;APROVADO CRÉDITO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 79,90;R$ 0,00;R$ 0,00
5956;25/06/2018 18:53;DESPACHADO;MOIP CC 3x;Mobile;3;R$ 129,70;R$ 0,00;R$ 13,15;R$ 142,85
5955;25/06/2018 18:51;ENTREGUE;MOIP Boleto;Mobile;1;R$ 79,90;R$ 0,00;R$ 23,21;R$ 103,11
5953;25/06/2018 10:18;ENTREGUE;MOIP Boleto;Mobile;4;R$ 269,60;R$ 0,00;R$ 47,15;R$ 316,75
5952;25/06/2018 09:44;ENTREGUE;MOIP CC 5x;Desktop;1;R$ 79,90;R$ 0,00;R$ 24,47;R$ 104,37
5951;25/06/2018 09:14;ENTREGUE;MOIP Boleto;Desktop;2;R$ 149,80;R$ 0,00;R$ 18,79;R$ 168,59
5950;24/06/2018 14:09;ENTREGUE;MOIP Boleto;Mobile;6;R$ 409,40;R$ 0,00;R$ 19,11;R$ 428,51
5949;24/06/2018 12:25;ENTREGUE;MOIP CC 5x;Mobile;1;R$ 69,90;R$ 0,00;R$ 13,15;R$ 83,05
5948;24/06/2018 08:20;ENTREGUE;MOIP CC 2x;Desktop;2;R$ 159,80;R$ 0,00;R$ 18,79;R$ 178,59
