Espécies;Modalidade
Tucunaré;Bait 
Anzol;Todos 
Isca;Bait 
Pesco logo existo;Todos 
Pescar é o meu esporte;Todos 
Momento da Pesca;Todos 
Pescar e soltar;Todos 
For Fisher;Todos 
Peixe Grande toma Linha;Todos 
Tambaqui;Pesqueiro
Traira;Bait 
For Fisher;Todos 
Dourado;Bait 
Cardume Fish TV;Todos 
Embaixador da Pesca;Bait 
Tamba;Pesqueiro
Hei Matau;Todos 
Pesque e Solte;Bait 
For Fisher;Bait 
Dourado;Bait 
Robalo;Oceânica
Tribainaré;Bait 
Pesque e Solte;Todos 
Pampo;Oceânica
Pesco logo existo;Todos 
Boia;Pesqueiro
Esse é bruto;Pesqueiro
Fish TV;Todos 
Cachorra;Bait 
Mestre da emboscada;Todos 
;
;
;
;
;
;
;
;
;
;
;
;
;
;
