Origem;Usuários;Novos usuários;Sessões;Taxa de rejeição;Páginas / sessão;Duração média da sessão;Taxa de conversão do comércio eletrônico;Transações;Receita
google / organic;3675;3093;4971;26,78%;7,22;247,27;2,86%;142;21552,37
(direct) / (none);1964;1860;2433;42,09%;5,39;178,96;1,73%;42;5953,73
fishtv.com / referral;1366;1194;1649;43,24%;4,98;143,77;0,73%;12;1799,61
google / cpc;1189;1013;1585;39,18%;5,66;187,62;1,83%;29;4730,89
m.facebook.com / referral;1131;892;1367;64,96%;2,68;60,10;0,37%;5;518,40
instagram.com / referral;556;485;628;51,75%;3,98;92,19;0,80%;5;761,33
RD Station / email;364;236;507;40,24%;4,74;181,59;2,76%;14;2212,34
lm.facebook.com / referral;106;97;124;83,06%;1,80;19,11;0,00%;0;0,00
l.facebook.com / referral;84;76;95;72,63%;1,92;39,67;0,00%;0;0,00
facebook.com / referral;76;58;86;39,53%;4,34;166,26;0,00%;0;0,00
;10791;9213;13817;39,15%;5,65;183,12;1,87%;258;38913,02
