Referência;Produto;Atributos;Categorias;Qtde Vendida;Cor;Tamanho;Tipo de Produto;Espécies;Modalidade
10493;Camiseta Tucunaré Aquarela - Branca;Único/G;Lançamentos, Camisetas;6;Branca;G;Camiseta;Tucunaré;Bait 
10493;Camiseta Tucunaré Aquarela - Branca;Único/M;Lançamentos, Camisetas;5;Branca;M;Camiseta;Tucunaré;Bait 
10493;Camiseta Tucunaré Aquarela - Branca;Único/GG;Lançamentos, Camisetas;3;Branca;GG;Camiseta;Tucunaré;Bait 
10493;Camiseta Tucunaré Aquarela - Branca;Único/P;Lançamentos, Camisetas;1;Branca;P;Camiseta;Tucunaré;Bait 
10495;Camiseta Tucunaré Aquarela - Preta;Único/XG;Lançamentos, Camisetas;4;Preta;XG;Camiseta;Tucunaré;Bait 
10495;Camiseta Tucunaré Aquarela - Preta;Único/P;Lançamentos, Camisetas;3;Preta;P;Camiseta;Tucunaré;Bait 
10495;Camiseta Tucunaré Aquarela - Preta;Único/GG;Lançamentos, Camisetas;3;Preta;GG;Camiseta;Tucunaré;Bait 
10495;Camiseta Tucunaré Aquarela - Preta;Único/XGG;Lançamentos, Camisetas;1;Preta;XGG;Camiseta;Tucunaré;Bait 
10481;Camiseta Anzol For Fisher;Único/GG;Lançamentos, Camisetas;4;Preta;GG;Camiseta;Anzol;Todos 
10481;Camiseta Anzol For Fisher;Único/XGG;Lançamentos, Camisetas;3;Preta;XGG;Camiseta;Anzol;Todos 
10481;Camiseta Anzol For Fisher;Único/M;Lançamentos, Camisetas;2;Preta;M;Camiseta;Anzol;Todos 
10481;Camiseta Anzol For Fisher;Único/G;Lançamentos, Camisetas;2;Preta;G;Camiseta;Anzol;Todos 
10343;Boné Tucunaré Tribal;Único/Único;Bonés;10;Verde Oliva;Único;Boné;Tucunaré;Bait 
10550;Boné Isca Stick;Único/Único;Lançamentos, Bonés;7;Preta;Único;Boné;Isca;Bait 
10548;Boné Pesco Logo Existo;Único/Único;Lançamentos, Bonés;7;Preta;Único;Boné;Pesco logo existo;Todos 
10574;Chaveiro Tucunaré;Único/Único;Lançamentos, Utilitários > Chaveiros;7;Grafite;Único;Chaveiro;Tucunaré;Bait 
10492;Camiseta Pescar é o Meu Esporte;Único/G;Lançamentos, Camisetas;3;Azul Royal;G;Camiseta;Pescar é o meu esporte;Todos 
10492;Camiseta Pescar é o Meu Esporte;Único/GG;Lançamentos, Camisetas;2;Azul Royal;GG;Camiseta;Pescar é o meu esporte;Todos 
10492;Camiseta Pescar é o Meu Esporte;Único/XGG;Lançamentos, Camisetas;2;Azul Royal;XGG;Camiseta;Pescar é o meu esporte;Todos 
