Página;Visualizações de página;Visualizações de páginas únicas;Tempo médio na página;Entradas;Taxa de rejeição;Porcentagem de saída;Valor da página
/;7572;5313;59,75;5119;45,59%;42,27%;2,00
/bones-000007.html;6186;3781;38,91;2420;64,71%;35,81%;3,03
/camisetas-000001.html;4097;2195;34,54;383;50,26%;15,38%;4,50
/camisetas-000001.html?page=2;1583;913;36,46;64;62,50%;12,95%;7,09
/lancamentos-000014.html;1580;1116;36,21;73;53,42%;16,84%;5,96
/fish-tv-000013.html;1113;754;38,43;430;33,95%;29,92%;2,53
/carrinho.html;981;528;55,10;76;3,90%;16,72%;37,71
/acessorios-000012.html;915;660;33,43;26;57,69%;11,91%;4,04
/sandalias-000003.html;853;608;24,64;23;52,17%;13,36%;5,20
/camisetas/camiseta-pescar-e-o-meu-esporte-nova-colecao-unico-p-000000444.html;711;592;48,03;444;74,32%;57,52%;4,52
;47280;33420;41,09;13059;57,41%;27,62%;8,23
