ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
6445;10/09/2018 18:13;APROVADO CRÉDITO;MOIP Boleto;Desktop;2;R$ 149,80;R$ 0,00;R$ 47,38;R$ 197,18
6444;10/09/2018 11:32;DESPACHADO;MOIP CC 1x;Desktop;4;R$ 194,60;R$ 0,00;R$ 38,23;R$ 232,83
6442;09/09/2018 23:00;DESPACHADO;MOIP Boleto;Mobile;1;R$ 39,90;R$ 0,00;R$ 23,21;R$ 63,11
6441;09/09/2018 14:30;DESPACHADO;MOIP CC 6x;Mobile;2;R$ 149,80;R$ 0,00;R$ 23,21;R$ 173,01
6440;09/09/2018 09:14;DESPACHADO;MOIP CC 6x;Desktop;3;R$ 219,70;R$ 0,00;R$ 47,38;R$ 267,08
6437;08/09/2018 17:50;DESPACHADO;MOIP CC 4x;Desktop;2;R$ 139,80;R$ 0,00;R$ 13,15;R$ 152,95
6435;07/09/2018 22:14;DESPACHADO;MOIP CC 1x;Mobile;1;R$ 79,90;R$ 0,00;R$ 38,23;R$ 118,13
6434;07/09/2018 16:31;DESPACHADO;MOIP CC 2x;Mobile;5;R$ 349,50;R$ 0,00;R$ 23,21;R$ 372,71
6433;07/09/2018 11:17;DESPACHADO;MOIP CC 3x;Mobile;2;R$ 159,80;R$ 0,00;R$ 38,23;R$ 198,03
6430;06/09/2018 19:03;DESPACHADO;MOIP CC 4x;Desktop;1;R$ 49,90;R$ 0,00;R$ 23,21;R$ 73,11
6429;06/09/2018 17:07;DESPACHADO;MOIP CC 2x;Mobile;1;R$ 69,90;R$ 0,00;R$ 30,08;R$ 99,98
6428;06/09/2018 16:31;DESPACHADO;MOIP CC 4x;Desktop;2;R$ 159,80;R$ 0,00;R$ 23,21;R$ 183,01
6425;06/09/2018 09:13;DESPACHADO;MOIP CC 5x;Mobile;1;R$ 79,90;R$ 0,00;R$ 23,21;R$ 103,11
6424;04/09/2018 21:19;DESPACHADO;MOIP CC 2x;Mobile;1;R$ 69,90;R$ 0,00;R$ 24,47;R$ 94,37
6423;04/09/2018 10:39;DESPACHADO;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 16,92;R$ 86,82
6422;04/09/2018 10:17;DESPACHADO;MOIP CC 6x;Desktop;1;R$ 79,90;R$ 0,00;R$ 16,92;R$ 96,82
6421;03/09/2018 22:20;DESPACHADO;MOIP CC 5x;Desktop;1;R$ 79,90;R$ 0,00;R$ 23,21;R$ 103,11
6420;03/09/2018 20:27;DESPACHADO;MOIP CC 3x;Mobile;2;R$ 149,80;R$ 0,00;R$ 18,79;R$ 168,59
